"groups","est_dG"
,0.00
,0.00
,0.00
"-CH2- : 2 | >CH- : -1 | -CH3 : -1",1.81
"-CH2- : -2 | >CH- : 1 | -CH3 : 1",-1.81
,0.00
"NH4 : -1 | -OH : -1 | -NH3 : 1 | H2O : 1",-2.47
"ring -CH< : -1 | ring -O-CO- : -1 | ring =CH- : -2 | -CH2- : -1 | -COO : 1 | OCCC : 1 | H : 1 | =CH- : 4 | CCCC : 1",-0.18
"ring >C< : -1 | ring -O-CO- : -1 | ring =CH- : -2 | -CH2- : -1 | -COO : 1 | OCCC : 1 | H : 1 | =C< : 1 | =CH- : 3 | CCCC : 1",0.39
"ring >C=O : -2 | amide : -2 | ring -NH- : -1 | OCCO : -1 | H : 1 | ring =N- : 1 | ring =C< : 1 | -COO : 1 | OCCN : 1 | heteroaromatic : 1",-1.57
"aromatic ring =C< : -2 | >C=O : -1 | =CH- : -2 | -OH : -1 | OCCC : -1 | CCCC : -1 | aromatic ring fused to nonaromatic ring >C=  : 2 | ring -O- : 1 | ring >C=O : 1 | ring -CH< : 1 | ring -CH2- : 1",-8.37
"H : -1 | -COO : -1 | Origin : -1 | -OH : -1 | -OPO2- : -2 | pyrophosphate : 1 | -O-CO- : 1",-6.10
"-OPO2- : -2 | -CH3 : 1 | >C=O : 1 | -SH : -1 | COA : -1 | H : -1 | acetate : -1 | pyrophosphate : 1 | -S- : 1 | thioester : 1",-0.95
"-OPO2- : -2 | >C=O : 1 | -SH : -1 | Origin : -1 | COA : -1 | H : -1 | -COO : -1 | pyrophosphate : 1 | -S- : 1 | thioester : 1",-2.49
"-OPO2- : -2 | >C=O : 1 | -SH : -1 | Origin : -1 | COA : -1 | H : -1 | -COO : -1 | pyrophosphate : 1 | -S- : 1 | thioester : 1",-2.49
"-OPO2- : -1 | >C=O : 1 | -SH : -1 | Origin : -1 | COA : -1 | -COO : -1 | orthophosphate : 1 | -S- : 1 | thioester : 1",-1.06
"-OPO2- : -1 | >C=O : 1 | -SH : -1 | Origin : -1 | COA : -1 | -COO : -1 | orthophosphate : 1 | -S- : 1 | thioester : 1",-1.06
"NH4 : -1 | -COO : -1 | -NH2 : 1 | -OPO2- : -1 | orthophosphate : 1 | >C=O : 1 | amide : 1 | H : 1",-2.09
"formate : -1 | -OPO2- : -1 | -NH- : -1 | amide : 1 | orthophosphate : 1 | -CH=O : 1 | -N< : 1",-0.87
"ring =N- : 1 | ring >C=O : -1 | ring =C< : 1 | -OPO2- : -1 | amide : -1 | ring -NH- : -1 | Origin : -1 | OCCC : -1 | CCNC : -1 | heteroaromatic : 1 | -NH3 : -1 | orthophosphate : 1 | H : 2 | -NH- : 1",-2.59
"-NH3 : -1 | Origin : -1 | >C=O : -1 | amide : -2 | -NH- : 1 | -NH2 : -1 | -OPO2- : -2 | pyrophosphate : 1 | =C< : 1 | =NH2 : 1",-0.12
"-COO : 1 | -CH3 : -1 | HCO3 : -1 | -OPO2- : -1 | -CH2- : 1 | orthophosphate : 1 | H : 1",-1.07
"H : -2 | ring =N- : -2 | amide : 1 | ring -NH- : 2 | OCCN : -1 | OCNC : -1 | NCCN : -1 | CCNC : -1 | electron : -2 | OCCC : 1",10.25
"H : -2 | ring =N- : -2 | amide : 1 | ring -NH- : 2 | OCCN : -1 | OCNC : -1 | NCCN : -1 | CCNC : -1 | electron : -2 | OCCC : 1",10.25
"H : -2 | ring =C< : -4 | ring >C=O : -2 | OCCC : -4 | electron : -2 | aromatic ring =C< : 6 | -OH : 2",-2.64
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | H : -1 | electron : -2 | ring -CH2- : 1 | NADH : 1",14.80
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | H : -1 | electron : -2 | ring -CH2- : 1 | NADH : 1",14.80
"H : -2 | ring -CH< : -2 | >C=O : 1 | ring -CH2- : -2 | ring >C=O : -1 | ring -S- : -2 | ring -NH- : -1 | electron : -2 | >CH- : 2 | -CH2- : 2 | -SH : 2 | -NH- : 1",19.51
"H : -2 | -CH=O : -1 | OCCC : -1 | electron : -2 | -CH2- : 1 | -OH : 1",11.13
"H : -2 | -S-S- : -1 | Origin : 1 | electron : -2 | -SH : 2",11.88
"H2 : -1 | S : -1 | H2S : 1",-10.87
"H : -1 | H2 : -2 | sulfite : -1 | H2O : 3 | S : 1",-42.79
"H : -1 | H2 : -3 | sulfite : -1 | H2O : 3 | H2S : 1",-53.66
"sulfate : -1 | H : -1 | H2 : -1 | H2O : 1 | sulfite : 1",0.46
"sulfate : -1 | H : -2 | H2 : -3 | H2O : 4 | S : 1",-42.34
"sulfate : -1 | H : -2 | H2 : -4 | H2O : 4 | H2S : 1",-53.20
"H : -2 | H2 : -4 | S2O3H : -1 | H2O : 3 | H2S : 2",-58.45
"H : -2 | H2 : -2 | S2O3H : -1 | H2O : 3 | S : 2",-36.71
"H : -1 | H2 : -1 | sulfite : -3 | H2O : 3 | S3O6 : 1",-15.29
"H2 : -1 | S3O6 : -1 | H : 1 | sulfite : 1 | S2O3H : 1",-33.59
"H : -1 | H2 : -1 | S2O3H : -1 | sulfite : 1 | H2S : 1",-4.79
"H2 : -1 | -SO3 : -2 | -S-S- : -1 | Origin : -1 | H : 2 | S2O3H : 2",-26.85
"H : -2 | H2 : -3 | N2 : -1 | NH4 : 2",-35.97
"H : -2 | H2 : -3 | nitrite : -2 | H2O : 4 | N2 : 1",-198.04
"H : -2 | H2 : -3 | nitrite : -1 | NH4 : 1 | H2O : 2",-117.00
"H2 : -1 | nitric acid : -1 | H2O : 1 | nitrite : 1",-43.18
"H : -2 | H2 : -4 | nitric acid : -1 | NH4 : 1 | H2O : 3",-160.19
"H : -2 | H2 : -5 | nitric acid : -2 | H2O : 6 | N2 : 1",-284.41
"H : -2 | H2 : -0.5 | nitrite : -1 | electron : -1 | H2O : 1 | HNO : 1",-19.01
"H2 : -1 | HNO : -2 | H : 1 | H2O : 1 | nitrous oxide : 1 | electron : 2",-75.81
"H2 : -1 | nitrous oxide : -1 | H : 1 | H2O : 1 | N2 : 1",-84.21
"O2 : -2 | H2 : -1 | H : 2 | O2s : 2",-17.31
"O2 : -1 | H2 : -1 | H2O2 : 1",-40.18
"H2O2 : -1 | H2 : -1 | H2O : 2",-85.53
"O2 : -1 | H2 : -2 | H2O : 2",-125.71
"H2 : -1 | HCO3 : -1 | formate : 1 | H2O : 1",-4.53
"H : -1 | H2 : -2 | HCO3 : -1 | formaldehyde : 1 | H2O : 2",-3.20
"H : -1 | H2 : -3 | HCO3 : -1 | methanol : 1 | H2O : 2",-18.10
"H : -1 | H2 : -4 | HCO3 : -1 | H2O : 3 | methane : 1",-45.30
"H : -1 | H2 : -4 | HCO3 : -2 | H2O : 4 | acetate : 1",-41.81
"-COO : -1 | -CH2- : -1 | -NH3 : -1 | Origin : -1 | H2 : -1 | NH4 : 1 | acetate : 1",-23.74
"methanol : -1 | H2 : -1 | H2O : 1 | methane : 1",-27.20
"H2 : -1 | ethanol : -1 | H2O : 1 | ethane : 1",-21.52
"H2 : -1 | -CH2- : -2 | -OH : -2 | Origin : -1 | H2O : 1 | ethanol : 1",-24.57
"formaldehyde : -1 | H2 : -1 | methanol : 1",-14.91
"acetaldehyde : -1 | H2 : -1 | ethanol : 1",-14.25
"acetone : -1 | H2 : -1 | >CH- : 1 | -CH3 : 2 | -OH : 1 | Origin : 1",-9.41
"H2 : -1 | -CH2- : 1 | -CH=O : -1 | -OH : 1",-13.69
"H2 : -1 | =CH- : -1 | =CH2 : -1 | OCCC : -1 | -CH2- : 1 | -CH3 : 1",-24.36
"H2 : -1 | =CH- : -2 | OCCC : -1 | -CH2- : 2",-25.02
"H2 : -1 | =CH- : -2 | OCCC : -2 | -CH2- : 2",-23.47
">CH- : -1 | -OH : -1 | H2 : -1 | -CH2- : 1 | H2O : 1",-22.85
"H2 : -1 | -CH2- : 1 | >CH- : -1 | -OH : -1 | H2O : 1",-22.85
"H2 : -1 | >CH- : -1 | -CH2- : 1 | -OH : -1 | H2O : 1",-22.85
"-COO : -1 | -CH2- : -1 | -OH : -1 | Origin : -1 | H2 : -1 | H2O : 1 | acetate : 1",-26.20
"H2 : -1 | -CH2- : -1 | -S< : -1 | -CH3 : 1 | Origin : 1 | H : 1 | -S- : 1",-32.14
">C=O : -2 | -COO : -2 | -CH3 : -1 | Origin : -1 | OCCO : -2 | H2 : -2 | H2O : -1 | -CH2- : 3 | -OH : 1 | HCO3 : 2",-47.16
">C=O : -1 | OCCO : -1 | H2 : -1 | acetate : -1 | HCO3 : 1 | -CH2- : 2",-27.00
">C=O : -1 | -COO : 1 | -CH3 : -1 | OCCO : -1 | H2 : -1 | HCO3 : -1 | H2O : 1 | >CH- : 1 | -CH2- : 1 | -OH : 1",-8.94
">C=O : -1 | -COO : 1 | -CH3 : -1 | OCCO : -1 | H2 : -1 | HCO3 : -1 | =CH- : 2 | OCCC : 2 | H2O : 2",-8.33
">C=O : -1 | -COO : 1 | -CH3 : -1 | OCCO : -1 | H2 : -2 | HCO3 : -1 | -CH2- : 2 | H2O : 2",-31.80
"H2 : -2 | -CH2- : 1 | >C=O : -1 | H2O : 1",-35.08
">C=O : -1 | -CH2- : 1 | OCCO : -1 | H2 : -2 | H2O : 1",-37.54
"H2 : -1 | >C=O : -1 | >CH- : 1 | -OH : 1",-12.23
">C=O : -1 | OCCO : -1 | H2 : -1 | >CH- : 1 | -OH : 1",-14.69
">C=O : -1 | -COO : -1 | -CH3 : -1 | Origin : -1 | OCCO : -1 | H2 : -1 | H2O : -1 | HCO3 : 1 | ethanol : 1",-18.53
">C=O : -1 | -CH3 : -1 | OCCO : -1 | H2 : -1 | H2O : 1 | =CH- : 1 | =CH2 : 1 | OCCC : 1",-13.18
">C=O : -1 | OCCO : -1 | H2 : -2 | -CH2- : 1 | H2O : 1",-37.54
">C=O : -2 | -COO : -2 | Origin : -1 | OCCO : -2 | H2 : -1 | H2O : -2 | >CH- : 2 | -OH : 2 | HCO3 : 2",-26.11
">C=O : -2 | -COO : -2 | Origin : -1 | OCCO : -2 | H2 : -2 | H2O : -1 | formate : 1 | >CH- : 2 | -OH : 2 | HCO3 : 1",-30.65
"H : -1 | H2 : -2 | -CH2- : 1 | -COO : -1 | -OH : 1 | H2O : 1",-12.35
"H : -1 | -COO : -1 | -CH2- : 1 | H2 : -2 | -OH : 1 | H2O : 1",-12.35
"H : -2 | H2 : -2 | acetate : -2 | >CH- : 1 | >C=O : 1 | -CH3 : 2 | -OH : 1 | Origin : 1 | H2O : 2",1.73
"H : -2 | H2 : -3 | acetate : -2 | >CH- : 2 | -CH3 : 2 | -OH : 2 | Origin : 1 | H2O : 2",-10.49
"H : -1 | acetate : -2 | acetone : 1 | HCO3 : 1",7.33
"H : -1 | H2 : -1 | acetate : -2 | >CH- : 1 | -CH3 : 2 | -OH : 1 | Origin : 1 | HCO3 : 1",-2.08
"H : -1 | H2 : -2 | acetate : -1 | -CH2- : 2 | H2O : 2",-20.73
"formate : -1 | H : -1 | H2 : -1 | formaldehyde : 1 | H2O : 1",1.34
"formate : -1 | H : -1 | H2 : -2 | methanol : 1 | H2O : 1",-13.57
"formate : -1 | H : -1 | H2 : -3 | H2O : 2 | methane : 1",-40.77
"H : -1 | H2 : -2 | acetate : -1 | H2O : 1 | ethanol : 1",-10.72
"H : -1 | H2 : -2 | acetate : -2 | H2O : 2 | -CH2- : 2 | -COO : 1 | -CH3 : 1 | Origin : 1",-19.19
"H : -1 | -CH2- : 2 | H2 : -2 | acetate : -1 | H2O : 2",-20.73
"formate : -1 | H2O : -1 | H2 : 1 | HCO3 : 1",4.53
"H2O : -4 | acetate : -1 | H : 1 | H2 : 4 | HCO3 : 2",41.81
"H2O : -2 | acetate : -2 | >C=O : 1 | -COO : 1 | -CH3 : 1 | Origin : 1 | OCCO : 1 | H2 : 3 | HCO3 : 1",49.62
"H2O : -1 | acetate : -1 | HCO3 : 1 | methane : 1",-3.49
"-COO : -1 | -CH2- : -1 | -CH3 : -1 | Origin : -1 | H2O : -3 | H : 1 | H2 : 3 | HCO3 : 1 | acetate : 1",29.73
"-COO : -1 | -CH2- : -1 | -CH3 : -1 | Origin : -1 | H2O : -7 | H : 2 | H2 : 7 | HCO3 : 3",71.54
"H2O : -10 | -CH2- : -2 | -COO : -1 | -CH3 : -1 | Origin : -1 | H : 3 | H2 : 10 | HCO3 : 4",102.82
"-COO : -2 | -CH2- : -2 | Origin : -1 | H2O : -8 | H : 2 | H2 : 7 | HCO3 : 4",65.80
"H2O : -2 | -CH2- : -2 | -COO : -1 | -CH3 : -1 | Origin : -1 | H : 1 | H2 : 2 | acetate : 2",19.19
"H2O : -4 | -CH2- : -4 | -COO : -1 | -CH3 : -1 | Origin : -1 | H : 2 | H2 : 4 | acetate : 3",39.91
">C=O : -1 | -COO : -1 | -CH3 : -1 | Origin : -1 | OCCO : -1 | H2O : -2 | H : 1 | H2 : 1 | HCO3 : 1 | acetate : 1",-7.81
">C=O : -1 | -COO : -1 | -CH3 : -1 | Origin : -1 | OCCO : -1 | H2O : -6 | H : 2 | H2 : 5 | HCO3 : 3",34.00
"-COO : -1 | -CH=O : -1 | Origin : -1 | OCCO : -1 | H2O : -2 | formate : 1 | H : 1 | H2 : 1 | HCO3 : 1",-5.07
"-COO : -1 | -CH=O : -1 | Origin : -1 | OCCO : -1 | H2O : -3 | H : 1 | H2 : 2 | HCO3 : 2",-0.54
">C=O : -1 | OCCO : -1 | H2O : -2 | H : 1 | H2 : 1 | HCO3 : 1",-6.27
">C=O : -1 | OCCO : -1 | H2O : -2 | H : 1 | H2 : 1 | HCO3 : 1",-6.27
">C=O : -1 | -CH2- : -1 | -COO : -2 | Origin : -1 | OCCO : -1 | H2O : -3 | H : 1 | H2 : 1 | HCO3 : 2 | acetate : 1",-13.55
">CH- : -1 | -COO : -1 | -CH3 : -1 | -OH : -1 | Origin : -1 | H2O : -2 | H : 1 | H2 : 2 | HCO3 : 1 | acetate : 1",6.88
"H2O : -3 | >CH- : -1 | -CH2- : -1 | -COO : -2 | -OH : -1 | Origin : -1 | H : 1 | H2 : 2 | HCO3 : 2 | acetate : 1",1.13
">C< : -1 | -COO : -1 | -OH : -1 | H2O : -3 | H : 1 | H2 : 2 | HCO3 : 2",5.90
">CH- : -2 | -CH2- : 1 | -COO : -1 | -OH : -1 | H2O : -3 | H : 1 | H2 : 2 | HCO3 : 2",4.48
"H2O : -1 | -CH2- : -1 | -COO : -1 | -CH3 : -1 | >CH- : -1 | -OH : -1 | Origin : -1 | H : 1 | H2 : 1 | acetate : 2",-3.67
"H2O : -2 | -CH3 : -1 | =CH- : -2 | -COO : -1 | Origin : -1 | OCCC : -1 | H : 1 | H2 : 1 | acetate : 2",-5.83
"H2O : -3 | -COO : -1 | =CH- : -1 | =CH2 : -1 | Origin : -1 | OCCC : -1 | H : 1 | H2 : 2 | HCO3 : 1 | acetate : 1",5.37
"-COO : -2 | =CH- : -2 | Origin : -1 | OCCC : -2 | H2O : -4 | H : 1 | H2 : 2 | HCO3 : 2 | acetate : 1",0.52
"-COO : -1 | -CH2- : -1 | -OH : -1 | Origin : -1 | H2O : -2 | formate : 1 | H : 1 | H2 : 2 | HCO3 : 1",11.08
"formaldehyde : -1 | H2O : -1 | formate : 1 | H : 1 | H2 : 1",-1.34
"acetaldehyde : -1 | H2O : -1 | H : 1 | H2 : 1 | acetate : 1",-3.53
"-CH=O : -1 | H2O : -1 | H : 1 | -COO : 1 | H2 : 1",-1.34
">CH- : -1 | -CH2- : -1 | -CH=O : -1 | -OH : -2 | >C=O : 1 | -COO : 1 | -CH3 : 1 | OCCO : 1 | H : 1 | H2 : 1",-11.31
">CH- : -1 | -CH2- : -1 | -CH=O : -1 | -OH : -2 | Origin : -1 | H2O : -2 | H : 2 | H2 : 2 | HCO3 : 1 | acetate : 1",-19.12
">CH- : -1 | -CH2- : -1 | -CH=O : -1 | -OH : -2 | Origin : -1 | H2O : -6 | H : 3 | H2 : 6 | HCO3 : 3",22.69
"ring -CH< : -12 | ring -O- : -3 | -CH2- : -3 | -OH : -12 | Origin : 2 | >C=O : 5 | -COO : 5 | -CH3 : 5 | OCCO : 5 | H : 5 | H2 : 5",-45.21
"ring -CH< : -4 | ring -O- : -1 | -CH2- : -1 | -OH : -4 | >C=O : 1 | -COO : 1 | -CH3 : 1 | OCCO : 1 | H : 2 | H2 : 1 | acetate : 1",-34.21
"ring -CH< : -5 | ring -O- : -1 | -CH2- : -1 | -OH : -5 | Origin : 1 | >C=O : 2 | -COO : 2 | -CH3 : 2 | OCCO : 2 | H : 2 | H2 : 2",-17.75
"H2O : -4 | ring -CH< : -5 | ring -O- : -1 | -CH2- : -1 | -OH : -5 | Origin : -1 | H : 4 | H2 : 4 | HCO3 : 2 | acetate : 2",-33.37
"H2O : -2 | ring -CH< : -5 | ring -O- : -1 | -CH2- : -1 | -OH : -5 | >C=O : 1 | -COO : 1 | -CH3 : 1 | OCCO : 1 | H : 3 | H2 : 3 | HCO3 : 1 | acetate : 1",-25.56
"H2O : -12 | ring -CH< : -5 | ring -O- : -1 | -CH2- : -1 | -OH : -5 | Origin : -1 | H : 6 | H2 : 12 | HCO3 : 6",50.26
"ring -CH< : -15 | ring -O- : -3 | >CH- : -3 | -OH : -18 | -CH2- : -3 | Origin : 4 | >C=O : 7 | -COO : 7 | -CH3 : 7 | OCCO : 7 | H : 7 | H2 : 7",-61.99
">CH- : -4 | -OH : -5 | -CH2- : -1 | H2O : -1 | >C=O : 1 | -CH3 : 1 | OCCO : 1 | H : 2 | H2 : 2 | HCO3 : 1 | acetate : 1",-26.54
">CH- : -4 | -OH : -5 | -COO : 1 | -CH2- : -1 | Origin : 1 | >C=O : 2 | -CH3 : 2 | OCCO : 2 | H : 1 | H2 : 1 | H2O : 1",-18.73
">CH- : -12 | -OH : -15 | -COO : 2 | -CH2- : -3 | Origin : 2 | H2O : -3 | >C=O : 5 | -CH3 : 5 | OCCO : 5 | H : 5 | H2 : 8 | HCO3 : 3",-22.19
">CH- : -24 | -OH : -30 | -COO : 5 | -CH2- : -6 | Origin : 5 | >C=O : 11 | -CH3 : 11 | OCCO : 11 | H : 8 | H2 : 11 | HCO3 : 3",-78.38
"methanol : -1 | H2O : -1 | formate : 1 | H : 1 | H2 : 2",13.57
"methanol : -1 | H2O : -2 | H : 1 | H2 : 3 | HCO3 : 1",18.10
"H2O : -1 | ethanol : -1 | H : 1 | H2 : 2 | acetate : 1",10.72
"-CH2- : -2 | -OH : -2 | Origin : -1 | H : 1 | H2 : 1 | acetate : 1",-13.85
">CH- : -1 | -CH2- : -2 | -OH : -3 | >C=O : 1 | -COO : 1 | -CH3 : 1 | OCCO : 1 | H : 1 | H2 : 2",2.37
">CH- : -1 | -CH2- : -2 | -OH : -3 | Origin : -1 | H2O : -2 | H : 2 | H2 : 3 | HCO3 : 1 | acetate : 1",-5.44
"-COO : -2 | -CH2- : -2 | -NH3 : -2 | Origin : -2 | H2O : -4 | NH4 : 2 | H : 1 | H2 : 2 | HCO3 : 2 | acetate : 1",-5.66
">CH- : -1 | -CH2- : -2 | -COO : -2 | -NH3 : -1 | Origin : -1 | H2O : -3 | NH4 : 1 | H : 1 | H2 : 1 | HCO3 : 1 | acetate : 2",-6.94
">CH- : -1 | -COO : -1 | -CH3 : -1 | -NH3 : -1 | Origin : -1 | H2O : -3 | NH4 : 1 | H : 1 | H2 : 2 | HCO3 : 1 | acetate : 1",9.34
">CH- : -1 | -NH3 : -1 | H2O : -3 | NH4 : 1 | H : 1 | H2 : 2 | HCO3 : 1",10.88
"NH4 : -2 | H : 2 | H2 : 3 | N2 : 1",35.97
"NH4 : -1 | H2O : -2 | H : 2 | H2 : 3 | nitrite : 1",117.00
"NH4 : -1 | H2O : -3 | H : 2 | H2 : 4 | nitric acid : 1",160.19
"H2O : -1 | nitrite : -1 | H2 : 1 | nitric acid : 1",43.18
"H2S : -1 | H2 : 1 | S : 1",10.87
"H2O : -4 | H2S : -1 | sulfate : 1 | H : 2 | H2 : 4",53.20
"H2O : -4 | S : -1 | sulfate : 1 | H : 2 | H2 : 3",42.34
"H2O : -5 | S2O3H : -1 | electron : -2 | sulfate : 2 | H2 : 5",71.23
"H : -2 | H2O : -3 | S2O3H : -1 | electron : -2 | H2 : 3 | sulfite : 2",72.14
"H : -2 | Fe2 : -2 | H2 : 1 | Fe3 : 2",58.77
"-CH3 : 1 | Origin : 1 | acetate : -1 | -COO : 1",1.54
"-CO-OPO3- : -1 | -CH3 : -1 | Origin : -1 | -OPO2- : 1 | H : 1 | acetate : 1",-4.17
"orthophosphate : -1 | >C=O : -1 | -S- : -1 | thioester : -1 | Origin : 1 | H : -1 | -SH : 1 | COA : 1 | -CO-OPO3- : 1",3.69
"-CH3 : 1 | >C=O : 1 | -SH : -1 | COA : -1 | ethanol : -1 | -S- : 1 | thioester : 1 | H2 : 2",18.02
"acetate : -1 | ethanol : -2 | H2O : 2 | -CH2- : 4 | -COO : 1 | -CH3 : 1 | Origin : 1",-18.47
"acetate : -1 | ethanol : -1 | H2O : 1 | -CH2- : 2 | -COO : 1 | -CH3 : 1 | Origin : 1",-8.47
"H2O : -2 | ring -CH< : -5 | ring -O- : -1 | -CH2- : 1 | -OH : -5 | H : 3 | H2 : 2 | HCO3 : 2 | -COO : 1 | -CH3 : 1",-52.55
"H2 : -1 | Fe3 : -2 | H : 2 | Fe2 : 2",-58.77
"H2 : -1 | -CH2- : 1 | -CH3 : 1 | =CH- : -1 | =CH2 : -1 | OCCC : -1",-24.36
"H2 : -4 | CO2 : -2 | H : 1 | H2O : 2 | acetate : 1",-43.50
"H : -4 | H2 : -1 | nitrite : -2 | electron : -2 | H2O : 2 | HNO : 2",-38.02
"H2 : -1 | -OPO2- : -1 | -SO4 : -1 | -OPO3 : 1 | sulfite : 1",-20.36
"H2 : -4 | CO2 : -1 | H2O : 2 | methane : 1",-46.15
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | Origin : -1 | heteroaromatic : -1 | -SH : -1 | COA : -1 | -COO : -1 | OCCO : -1 | ring -CH2- : 1 | NADH : 1 | -S- : 1 | thioester : 1 | CO2 : 1",-8.14
"-CH3 : 1 | -COO : 1 | Origin : 1 | acetate : -1",1.54
"orthophosphate : -1 | -OPO2- : 1 | -CH=O : -1 | amide : -1 | -N< : -1 | -NH- : 1 | formate : 1",0.87
"orthophosphate : -1 | -OPO2- : 1 | >C=O : -1 | -COO : 1 | -S- : -1 | thioester : -1 | Origin : 1 | -SH : 1 | COA : 1",1.06
"-CO-OPO3- : -1 | amide : -1 | -NH2 : -1 | Origin : -1 | -OPO2- : 1 | H : 1 | carbamate : 1",-2.97
"orthophosphate : -1 | H : -2 | -NH3 : 1 | >C=O : -1 | amide : -1 | -NH- : -1 | Origin : 1 | -CO-OPO3- : 1",8.98
"-CO-OPO3- : -1 | -OPO2- : 1 | H : 1 | -COO : 1",-2.63
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | orthophosphate : -1 | -CH=O : -1 | ring -CH2- : 1 | NADH : 1 | -CO-OPO3- : 1",-0.36
"orthophosphate : -1 | H : -1 | >CH- : -1 | >C=O : -1 | -OH : -2 | -CH2- : -1 | Origin : 1 | -CO-OPO3- : 1 | -CH3 : 1 | H2O : 1 | -CH=O : 1",-12.53
"-CH2- : -1 | -CH3 : 1 | -SH : -1 | COA : -1 | -S- : 1 | thioester : 1",-7.06
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | -CH3 : 1 | -SH : -1 | COA : -1 | acetaldehyde : -1 | ring -CH2- : 1 | NADH : 1 | -S- : 1 | thioester : 1 | H : 1",-4.70
"-SH : -1 | Origin : -1 | COA : -1 | -COO : -1 | OCCO : -1 | -S- : 1 | thioester : 1 | formate : 1",-5.05
"orthophosphate : -1 | -OPO2- : 1 | -CH3 : -1 | >C=O : -1 | -S- : -1 | thioester : -1 | -SH : 1 | COA : 1 | acetate : 1",-0.48
"-OPO2- : -1 | H2O : -1 | orthophosphate : 1 | H : 1",-6.82
"-OPO2- : -2 | H2O : -1 | pyrophosphate : 1",-8.24
,0.00
">C=O : -1 | -COO : 1 | -S- : -1 | thioester : -1 | Origin : 1 | H2O : -1 | -SH : 1 | COA : 1 | H : 1",-5.76
"-CH3 : -1 | >C=O : -1 | -S- : -1 | thioester : -1 | H2O : -1 | -SH : 1 | COA : 1 | H : 1 | acetate : 1",-7.30
"=CH- : -2 | OCCC : 2 | two fused aromatic rings >C= : -2 | aromatic ring =C< : -4 | -OH : -2 | -CH2- : 2 | aromatic ring fused to nonaromatic ring >C=  : 2 | ring >C=O : 2 | ring =C< : 2",6.53
"=CH- : -2 | OCCC : 2 | two fused aromatic rings >C= : -2 | aromatic ring =C< : -3 | aromatic ring =CH- : -1 | -OH : -2 | -CH2- : 2 | aromatic ring fused to nonaromatic ring >C=  : 2 | ring >C=O : 2 | ring =C< : 1 | ring =CH- : 1",5.31
"-OH : -1 | -OPO2- : -1 | -OPO3 : 1",-4.50
"ring -CH< : 1 | ring -O- : 1 | -CH2- : -1 | -OPO3- : -1 | -OPO2- : -1 | >CH- : -1 | >C< : -1 | Origin : 1 | ring >C< : 1 | ring -CH2- : 1 | ring -OPO2- : 2",26.77
"-CH2- : -1 | -OH : 1 | aromatic ring fused to nonaromatic ring >C=  : -2 | ring >C=O : -2 | ring =C< : -2 | OCCC : -4 | -CH=O : 1 | OCCO : 1 | two fused aromatic rings >C= : 2 | aromatic ring =C< : 4",-13.85
"-CH2- : -1 | -OH : 1 | aromatic ring fused to nonaromatic ring >C=  : -2 | ring >C=O : -2 | aromatic ring =CH- : 1 | ring =C< : -1 | ring =CH- : -1 | OCCC : -4 | -CH=O : 1 | OCCO : 1 | two fused aromatic rings >C= : 2 | aromatic ring =C< : 3",-12.63
"formate : -4 | H : -4 | H2O : 2 | CO2 : 3 | methane : 1",-24.64
"formate : -1 | H : -1 | H2 : 1 | CO2 : 1",5.38
"H2 : -4 | CO2 : -1 | H2O : 2 | methane : 1",-46.15
"ring -CH< : -5 | ring -O- : -1 | -CH2- : -1 | -OH : -5 | Origin : -1 | CO2 : 3 | methane : 3",-83.12
"H2O : -2 | ring -CH< : -5 | ring -O- : -1 | -CH2- : -1 | -OH : -5 | Origin : -1 | H : 2 | H2 : 4 | acetate : 2 | CO2 : 2",-31.68
"H2O : -2 | ring -CH< : -5 | ring -O- : -1 | -CH2- : -1 | -OH : -5 | Origin : -1 | formate : 2 | H : 4 | H2 : 2 | acetate : 2",-42.43
"H : -1 | acetate : -1 | CO2 : 1 | methane : 1",-2.65
"H2 : -4 | CO2 : -1 | H2O : 2 | methane : 1",-46.15
"formate : -4 | H : -4 | H2O : 2 | CO2 : 3 | methane : 1",-24.64
"methanol : -4 | H : 1 | HCO3 : 1 | H2O : 1 | methane : 3",-63.49
"-CH3 : 1 | >C=O : 1 | -SH : -1 | COA : -1 | H : -1 | acetate : -1 | -S- : 1 | thioester : 1 | H2O : 1",7.30
"ring -N< : 1 | >C=O : -1 | -S- : -1 | thioester : -1 | H2O : -1 | ring -NH- : -1 | -SH : 1 | COA : 1 | H2 : 1 | CO2 : 1",14.74
"-SH : -1 | ring -NH- : 1 | ring -N< : -1 | -S- : 1",-6.41
"-S- : -1 | -CH3 : -1 | Origin : -1 | -SH : -1 | methane : 1 | -S-S- : 1",-6.89
"H2 : -1 | -S-S- : -1 | Origin : 1 | -SH : 2",-11.38
"H2 : -1 | CO2 : -1 | -NH3 : -1 | amide : 1 | -NH- : 1 | H : 1 | H2O : 1 | -CH=O : 1",-6.11
