2557,methylmalonyl-CoA,298.15,40,39,CC(C(=O)O)C(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)O)O)O,CC(C(=O)[O-])C(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)O)O)O,4.21
2560,N-acetylimidazole,298.15,6,6,,,
2588,retinyl palmitate,298.15,60,60,,,
2632,2-methylpropanoate,293.15,8,7,CC(C)C(=O)O,CC(C)C(=O)[O-],4.84
2656,pimelate,298.15,12,11,C(=O)(O)CCCCCC(=O)O,C(=O)(O)CCCCCC(=O)[O-],4.71
2656,pimelate,298.15,11,10,C(=O)(O)CCCCCC(=O)[O-],C(=O)([O-])CCCCCC(=O)[O-],5.58
2666,coniferaldehyde,298.15,10,10,,,
2846,dimethylaminobenzene,298.15,12,11,C[NH+](C)c1ccccc1,CN(C)c1ccccc1,5.07
3005,N-methylanthranilate,298.15,9,8,CNc1ccccc1C(O)=O,CNc1ccccc1C([O-])=O,5.34
3044,"(R,R)-butane-2,3-diol",298.15,10,10,,,
3067,3-hydroxybenzaldehyde,298.15,6,5,,,8.98
3173,S-methylthioglycolate,298.15,6,5,CSCC(O)=O,CSCC([O-])=O,3.66
3178,tetrahydroxypteridine,298.15,4,4,,,
3224,"3,5-dibromo-L-tyrosine",298.15,10,9,[NH3+][C@@H](Cc1cc(Br)c(O)c(Br)c1)C(O)=O,[NH3+][C@@H](Cc1cc(Br)c(O)c(Br)c1)C([O-])=O,2.17
3224,"3,5-dibromo-L-tyrosine",298.15,9,8,[NH3+][C@@H](Cc1cc(Br)c(O)c(Br)c1)C([O-])=O,[NH3+][C@@H](Cc1cc(Br)c([O-])c(Br)c1)C([O-])=O,6.45
3224,"3,5-dibromo-L-tyrosine",298.15,8,7,[NH3+][C@@H](Cc1cc(Br)c([O-])c(Br)c1)C([O-])=O,N[C@@H](Cc1cc(Br)c([O-])c(Br)c1)C([O-])=O,7.6
3351,3-hydroxybenzenemethanol,298.15,8,8,,,
3383,"D-galactono-1,4-lactone",298.15,10,10,,,
3384,D-galactose 1-phosphate,298.15,12,11,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OP(=O)([O-])O)O)O)O)O,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OP(=O)([O-])[O-])O)O)O)O,6.17
3479,5-formyltetrahydrofolate,298.15,23,22,,,3.1
3479,5-formyltetrahydrofolate,298.15,22,21,,,4.8
3479,5-formyltetrahydrofolate,298.15,21,20,,,10.4
3500,ethyl acetoacetate,298.15,10,9,,,10.68
3521,glycolyl-D-mannosamine,298.15,15,15,,,
3722,"pyridine-2,3-dicarboxylate",298.15,5,4,,,2.43
3722,"pyridine-2,3-dicarboxylate",298.15,4,3,,,4.78
3758,dopamine,298.15,12,11,[NH3+]CCc1ccc(O)c(O)c1,NCCc1ccc(O)c(O)c1,8.9
3758,dopamine,298.15,11,10,NCCc1ccc(O)c(O)c1,NCCc1ccc(O)c([O-])c1,10.6
3882,piperine,291.15,20,19,,,12.22
4178,bromoxynil,298.15,3,2,,,4.06
4348,malyl-CoA,298.15,40,39,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)C(C(=NCCC(=NCCSC(=O)C[C@@H](C(=O)O)O)O)O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)C(C(=NCCC(=NCCSC(=O)C[C@@H](C(=O)[O-])O)O)O)O,4.21
4483,deoxycholate,298.15,40,39,,,6.58
5058,3-aminophenol,293.15,8,7,[NH3+]c1cccc(O)c1,Nc1cccc(O)c1,4.37
5058,3-aminophenol,293.15,7,6,Nc1cccc(O)c1,Nc1cccc([O-])c1,9.82
5080,novobiocin,298.15,36,35,,,4.3
5080,novobiocin,298.15,35,34,,,9.1
5122,taurocholate,298.15,45,44,,,1.4
5268,(S)-hydroxyhexanoyl-CoA,298.15,42,42,,,
5269,3-oxohexanoyl-CoA,298.15,40,40,,,
5469,"17alpha,21-Dihydroxy-5beta-pregnane-3,11,20-trione",298.15,30,30,,,
5471,"11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione",298.15,32,32,,,
5512,Deoxyinosine,298.15,12,12,,,
5986,2-propynol,298.15,4,3,C#CCO,C#CC[O-],13.6
6091,aconitine,298.15,48,47,,,5.88
6104,hexanedioate,291.15,10,9,OC(=O)CCCCC(O)=O,OC(=O)CCCCC([O-])=O,4.41
6104,hexanedioate,291.15,9,8,OC(=O)CCCCC([O-])=O,[O-]C(=O)CCCCC([O-])=O,5.41
6108,fluoroacetate,298.15,3,2,FCC(=O)O,FCC(=O)[O-],2.59
6142,1-butanol,298.15,10,10,,,
6173,thebaine,288.15,22,21,,,6.05
6174,codeine,298.15,22,21,,,8.21
6202,salicylaldehyde,298.15,6,5,C(=O)c1ccccc1O,C(=O)c1ccccc1[O-],8.37
6219,Cellotriose,298.15,32,32,,,
6244,acetamide,298.15,5,4,CC(=O)N,CC(=O)[NH-],15.1
6323,isoquinoline,293.15,8,7,c1ccc2c[nH+]ccc2c1,c1ccc2cnccc2c1,5.4
6333,2-aminobenzenesulfonate,298.15,7,6,Nc1ccccc1S(O)(=O)=O,Nc1ccccc1S([O-])(=O)=O,2.46
6334,3-aminobenzenesulfonate,298.15,7,6,Nc1cccc(c1)S(O)(=O)=O,Nc1cccc(c1)S([O-])(=O)=O,3.74
6335,4-aminobenzenesulfonate,298.15,7,6,Nc1ccc(cc1)S(O)(=O)=O,Nc1ccc(cc1)S([O-])(=O)=O,3.23
6337,terephthalate,298.15,6,5,OC(=O)c1ccc(cc1)C(O)=O,OC(=O)c1ccc(cc1)C([O-])=O,3.54
6337,terephthalate,298.15,5,4,OC(=O)c1ccc(cc1)C([O-])=O,[O-]C(=O)c1ccc(cc1)C([O-])=O,4.34
6338,quinolin-2-ol,293.15,8,7,Oc1ccc2ccccc2[nH+]1,Oc1ccc2ccccc2n1,-0.31
6338,quinolin-2-ol,293.15,7,6,Oc1ccc2ccccc2n1,[O-]c1ccc2ccccc2n1,11.76
6413,quinoline,293.15,8,7,c1ccc2[nH+]cccc2c1,c1ccc2ncccc2c1,4.9
6423,octanoate,298.15,16,15,CCCCCCCC(=O)O,CCCCCCCC(=O)[O-],4.89
6463,D-Threose,298.15,8,8,,,
6464,D-Altrose,298.15,12,12,,,
6468,D-Psicose,298.15,12,12,,,
6522,strychnine,298.15,23,22,,,8.26
6526,quinine,298.15,26,25,,,4.13
6526,quinine,298.15,25,24,,,8.52
6527,quinidine,293.15,26,25,,,5.4
6527,quinidine,293.15,25,24,,,10.0
6528,cinchonine,298.15,24,23,,,5.85
6528,cinchonine,298.15,23,22,,,9.92
6530,cupreine,298.15,24,23,,,6.57
6533,papaverine,298.15,22,21,,,6.4
6535,physostigmine,298.15,23,22,,,6.12
6535,physostigmine,298.15,22,21,,,12.24
6538,harmine,298.15,13,12,,,7.7
6539,reserpine,298.15,41,40,,,6.6
6544,veratridine,298.15,52,51,,,9.54
6554,cyanuric acid,298.15,3,2,,,6.88
6554,cyanuric acid,298.15,2,1,,,11.4
6554,cyanuric acid,298.15,1,0,,,13.5
6688,rifampicin,298.15,59,58,,,1.7
6688,rifampicin,298.15,58,57,,,7.9
6748,isopropylamine,298.15,10,9,NC(C)C,[NH3+]C(C)C,10.63
6755,chloroacetic acid,298.15,3,2,ClCC(=O)O,ClCC(=O)[O-],2.87
6771,triethanolamine,298.15,16,15,OCC[NH+](CCO)CCO,OCCN(CCO)CCO,7.76
6805,acetazolamide,298.15,6,5,CC(=O)Nc1nnc(s1)S(N)(=O)=O,CC(=O)Nc1nnc(s1)S([NH-])(=O)=O,7.2
6808,acetohydroxamic acid,298.15,5,4,CC(=O)NO,CC(=O)N[O-],8.7
6813,nitrobenzene,273.15,6,5,,,3.98
6823,amiodarone,298.15,30,29,,,6.56
6824,amitriptyline,298.15,24,23,,,9.4
6837,azathioprine,298.15,8,7,,,8.2
6897,cephradine,298.15,20,19,,,2.63
6897,cephradine,298.15,19,18,,,7.27
6914,clindamycin,298.15,34,33,,,7.6
6924,clozapine,298.15,21,20,,,3.7
6924,clozapine,298.15,20,19,,,7.6
6997,fenoprofen,298.15,14,13,,,7.3
7056,isoproterenol,298.15,18,17,,,8.64
7064,lactulose,298.15,22,22,,,
7086,phenylacetate,298.15,8,7,OC(=O)Cc1ccccc1,[O-]C(=O)Cc1ccccc1,4.31
7130,"1,3-dimethylxanthine",298.15,8,7,,,8.77
7188,verapamil,298.15,39,38,,,8.6
7196,methylphenidate,298.15,20,19,,,8.9
7201,vinblastine,298.15,60,59,,,5.4
7201,vinblastine,298.15,59,58,,,7.4
7204,vincristine,298.15,58,57,,,5.4
7211,m-methylbenzoate,298.15,8,7,Cc1cccc(c1)C(O)=O,Cc1cccc(c1)C([O-])=O,4.25
7215,o-methylbenzoate,298.15,8,7,Cc1ccccc1C(O)=O,Cc1ccccc1C([O-])=O,3.91
7270,nizatidine,298.15,23,22,,,2.1
7270,nizatidine,298.15,22,21,,,6.8
7273,succinimide,298.15,5,4,O=C1CCC(=O)N1,O=C1CCC(=O)[N-]1,9.62
7318,sulfisoxazole,298.15,14,13,,,5.0
7408,protriptyline,298.15,22,21,,,8.2
7434,phenobarbital,298.15,12,11,,,7.3
7434,phenobarbital,298.15,11,10,,,11.8
7440,phenylbutazone,298.15,21,20,,,4.5
7461,chlorothiazide,298.15,7,6,,,6.85
7461,chlorothiazide,298.15,6,5,,,9.45
7474,pilocarpine,298.15,18,17,,,1.6
7474,pilocarpine,298.15,17,16,,,6.9
7480,"3,7-dimethylxanthine",291.15,8,7,,,7.89
7490,"2,2,2-trichloroethanol",298.15,3,2,C(Cl)(Cl)(Cl)CO,C(Cl)(Cl)(Cl)C[O-],12.24
7525,ketamine,298.15,17,16,,,7.5
7527,benzocaine,298.15,12,11,,,2.5
7536,amobarbital,298.15,18,17,,,8.0
7543,ergonovine,298.15,24,23,,,6.8
7565,N-phenylacetamide,298.15,10,9,,,0.5
7581,pteridine,293.15,5,4,,,4.05
7592,colchicine,293.15,25,24,,,12.36
7672,biguanide,298.15,9,8,,,2.93
7672,biguanide,298.15,8,7,,,11.52
7763,hydroflumethiazide,298.15,8,7,,,8.9
7763,hydroflumethiazide,298.15,7,6,,,9.7
7764,methazolamide,298.15,8,7,,,7.3
7765,methyclothiazide,298.15,11,10,,,9.4
7967,bithionol,298.15,6,5,,,4.82
7967,bithionol,298.15,5,4,,,10.5
7973,piperazine,298.15,12,11,C1C[NH2+]CC[NH2+]1,C1C[NH2+]CCN1,5.33
7973,piperazine,298.15,11,10,C1C[NH2+]CCN1,C1CNCCN1,9.73
8217,iopanoic acid,298.15,12,11,,,4.8
8240,gentiobiose,298.15,22,22,,,
8261,"1,7-heptanedicarboxylic acid",298.15,16,15,C(=O)(O)CCCCCCCC(=O)O,C(=O)(O)CCCCCCCC(=O)[O-],4.53
8261,"1,7-heptanedicarboxylic acid",298.15,15,14,C(=O)(O)CCCCCCCC(=O)[O-],C(=O)([O-])CCCCCCCC(=O)[O-],5.33
8262,isovalerate,298.15,10,9,CC(C)CC(O)=O,CC(C)CC([O-])=O,4.77
8277,sebacic acid,298.15,18,17,C(=O)(O)CCCCCCCCC(=O)O,C(=O)(O)CCCCCCCCC(=O)[O-],4.59
8277,sebacic acid,298.15,17,16,C(=O)(O)CCCCCCCCC(=O)[O-],C(=O)([O-])CCCCCCCCC(=O)[O-],5.59
8278,"1,8-octanedioic acid",298.15,14,13,C(=O)(O)CCCCCCC(=O)O,C(=O)(O)CCCCCCC(=O)[O-],4.52
8278,"1,8-octanedioic acid",298.15,13,12,C(=O)(O)CCCCCCC(=O)[O-],C(=O)([O-])CCCCCCC(=O)[O-],5.52
8306,hexylamine,298.15,17,16,CCCCCC[NH3+],CCCCCCN,10.56
8660,atisine,298.15,34,33,,,12.2
9084,brucine,298.15,27,26,,,6.04
9084,brucine,298.15,26,25,,,11.07
9421,emetine,298.15,42,41,,,5.77
9421,emetine,298.15,41,40,,,6.64
9592,alpha-narcotine,298.15,24,23,,,7.8
9822,hexahydrobenzoic acid,298.15,12,11,OC(=O)C1CCCCC1,[O-]C(=O)C1CCCCC1,4.91
9876,lycodine,298.15,24,23,,,3.97
9876,lycodine,298.15,23,22,,,8.08
10129,arecoline,298.15,14,13,,,6.84
10164,picolinic acid,293.15,6,5,OC(=O)c1cccc[nH+]1,OC(=O)c1ccccn1,0.99
10164,picolinic acid,293.15,5,4,OC(=O)c1ccccn1,[O-]C(=O)c1ccccn1,5.39
10571,aspergillic acid,298.15,20,19,,,5.5
10763,cytisine,298.15,16,15,,,6.11
10763,cytisine,298.15,15,14,,,13.08
10783,sparteine,293.15,28,27,[H][C@@]12CCCC[NH+]1C[C@@H]1C[C@H]2C[NH+]2CCCC[C@]12[H],[H][C@@]12CCCC[NH+]1C[C@@H]1C[C@H]2CN2CCCC[C@]12[H],2.24
10783,sparteine,293.15,27,26,[H][C@@]12CCCC[NH+]1C[C@@H]1C[C@H]2CN2CCCC[C@]12[H],[H][C@@]12CCCCN1C[C@@H]1C[C@H]2CN2CCCC[C@]12[H],9.46
10820,solanine,288.15,74,73,,,6.66
10848,tropacocaine,288.15,20,19,,,4.32
10897,carbendazim,298.15,10,9,,,4.48
10906,D-fructose,298.15,12,12,,,
10998,4-aminobiphenyl,291.15,12,11,,,4.35
11004,"2,6-dimethylaniline",298.15,12,11,Cc1cccc(C)c1[NH3+],Cc1cccc(C)c1N,3.89
11010,2-fluoroaniline,298.15,7,6,[NH3+]c1ccccc1F,Nc1ccccc1F,3.2
11013,3-fluoroaniline,298.15,7,6,[NH3+]c1cccc(F)c1,Nc1cccc(F)c1,3.59
11014,4-fluoroaniline,298.15,7,6,[NH3+]c1ccc(F)cc1,Nc1ccc(F)cc1,4.65
11016,Diphenylamine,298.15,12,11,[NH2+](c1ccccc1)c1ccccc1,N(c1ccccc1)c1ccccc1,0.79
11032,trichlopyr,298.15,4,3,,,2.68
11150,trichloroacetate,293.15,1,0,OC(=O)C(Cl)(Cl)Cl,[O-]C(=O)C(Cl)(Cl)Cl,0.66
11153,teniposide,298.15,32,31,,,10.13
11169,sulfathiazole,298.15,9,8,,,7.2
11379,cinchonidine,298.15,24,23,,,5.8
11379,cinchonidine,298.15,23,22,,,10.03
11476,L-arabinose,298.15,10,10,,,
11692,tetrodotoxin,298.15,17,16,,,8.76
11713,2-naphthol,298.15,8,7,Oc1ccc2ccccc2c1,[O-]c1ccc2ccccc2c1,9.63
11714,1-naphthol,298.15,8,7,Oc1cccc2ccccc12,[O-]c1cccc2ccccc12,9.39
11754,cephaloridine,298.15,18,17,,,3.2
11907,"4,6-dideoxy-4-oxo-dTDP-D-glucose",298.15,22,22,,,
12600,phenol red,298.15,14,13,,,7.9
14101,2-naphthoic acid,298.15,8,7,OC(=O)c1ccc2ccccc2c1,[O-]C(=O)c1ccc2ccccc2c1,4.16
14130,2-tert-butylphenol,298.15,14,13,,,10.62
14188,3-tert-butylphenol,298.15,14,13,,,10.12
14200,4-tert-butylphenol,298.15,14,13,,,10.23
14219,2-chlorophenol,298.15,5,4,Oc1ccccc1Cl,[O-]c1ccccc1Cl,8.56
14224,4-phenylphenol,298.15,10,9,Oc1ccc(cc1)-c1ccccc1,[O-]c1ccc(cc1)-c1ccccc1,9.55
14270,3-chlorophenol,298.15,5,4,Oc1cccc(Cl)c1,[O-]c1cccc(Cl)c1,9.12
14286,phenolphthalein,298.15,14,13,,,9.7
14302,dinoseb,298.15,12,11,,,4.62
14342,3-phenylphenol,298.15,10,9,Oc1cccc(c1)-c1ccccc1,[O-]c1cccc(c1)-c1ccccc1,9.64
14402,"1,2-diaminobenzene",293.15,10,9,[NH3+]c1ccccc1[NH3+],Nc1ccccc1[NH3+],0.8
14402,"1,2-diaminobenzene",293.15,9,8,Nc1ccccc1[NH3+],Nc1ccccc1N,4.57
14415,thiourea,298.15,5,4,,,-1.0
14418,3-nitrophenol,298.15,5,4,,,8.36
14419,"2,4-dichloroaniline",295.15,6,5,[NH3+]c1ccc(Cl)cc1Cl,Nc1ccc(Cl)cc1Cl,2.05
14447,2-methylpyridine,298.15,8,7,Cc1cccc[nH+]1,Cc1ccccn1,6.0
14450,1-amino-4-chlorobenzene,298.15,7,6,[NH3+]c1ccc(Cl)cc1,Nc1ccc(Cl)cc1,3.98
14452,morpholine,298.15,10,9,C1COCC[NH2+]1,C1COCCN1,8.5
14453,4-bromophenol,298.15,5,4,Brc1ccc(O)cc1,Brc1ccc([O-])cc1,9.37
14455,N-ethylbenzenamine,298.15,12,11,CC[NH2+]c1ccccc1,CCNc1ccccc1,5.12
14686,dicyclohexylamine,298.15,24,23,C1CCC(CC1)[NH2+]C2CCCCC2,C1CCC(CC1)NC2CCCCC2,10.4
14691,triethylamine,298.15,16,15,CCN(CC)CC,CC[NH+](CC)CC,10.75
14695,titrilotriacetate,293.15,9,8,OC(=O)C[NH+](CC(O)=O)CC([O-])=O,OC(=O)C[NH+](CC([O-])=O)CC([O-])=O,3.03
14695,titrilotriacetate,293.15,8,7,OC(=O)C[NH+](CC([O-])=O)CC([O-])=O,[O-]C(=O)C[NH+](CC([O-])=O)CC([O-])=O,3.07
14695,titrilotriacetate,293.15,7,6,[O-]C(=O)C[NH+](CC([O-])=O)CC([O-])=O,[O-]C(=O)CN(CC([O-])=O)CC([O-])=O,10.7
14790,1-naphthylamine,298.15,10,9,[NH3+]c1cccc2ccccc12,Nc1cccc2ccccc12,3.92
14841,2-bromophenol,298.15,5,4,Brc1ccccc1O,Brc1ccccc1[O-],8.45
14866,chloral,298.15,1,0,,,10.04
15562,benzylamine,298.15,10,9,[NH3+]Cc1ccccc1,NCc1ccccc1,9.34
15584,phenol,298.15,6,5,Oc1ccccc1,[O-]c1ccccc1,9.99
16200,benzeneboronic acid,298.15,7,6,c1ccccc1B(O)O,c1ccccc1B(O)[O-],8.83
16234,o-nitrobenzoate,298.15,5,4,,,2.17
16444,benzidine,293.15,14,13,c1cc(cc1c2ccc(cc2)[NH3+])[NH3+],c1cc(cc1c2ccc(cc2)N)[NH3+],3.43
16444,benzidine,293.15,13,12,c1cc(cc1c2ccc(cc2)N)[NH3+],c1cc(cc1c2ccc(cc2)N)N,4.65
16485,4-fluorophenol,298.15,5,4,Fc1ccc(O)cc1,Fc1ccc([O-])cc1,9.89
16512,palmitoylethanolamide,298.15,37,37,,,
17148,oleanolic acid,298.15,48,47,,,2.52
17714,heptanoic acid,298.15,14,13,CCCCCCC(=O)O,CCCCCCC(=O)[O-],4.89
