"ENTRY","DELTAG","UNCERTAINTY","CHARGE","REASON ENERGY COULD NOT BE ESTIMATED"
"C07202",-42.64,1.59,1,
"C07203","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07204","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07205",65.39,2.83,0,
"C07206","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07207",-53.2,1.81,0,
"C07208",30,1.23,0,
"C07209",-1.98,0.9,0,
"C07210","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07211",-54.68,0.89,-1,
"C07212",30,1.23,0,
"C07213",-9.91,0.87,0,
"C07214",-1.98,0.9,0,
"C07215",-54.68,0.89,-1,
"C07216",-9.91,0.87,0,
"C07217","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07218",1.63,2.36,1,
"C07219",92.19,2.67,0,
"C07220",1.94,1.19,1,
"C07221","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07222",-18.79,3.48,1,
"C07223","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07224",47.76,5.49,0,
"C07225",-128.75,4.87,-1,
"C07226","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07227","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07228",28.23,3.15,0,
"C07229","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07230",34.74,2.78,0,
"C07231",-196.45,3.1,-2,
"C07232","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07233","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07234","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07235",-175.38,5.62,0,
"C07236","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07237","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07238","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07239",-41.56,1.99,1,
"C07240",-25.01,3.92,0,
"C07241",-49.99,2.26,1,
"C07242","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07243","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07244","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07245",150.42,5.47,1,
"C07246",74.4,2.33,1,
"C07247",55.63,1.81,1,
"C07248","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07249","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07250",-103.48,2.84,-1,
"C07251","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07252","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07253","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07254",-14.85,4.89,0,
"C07255",-173.36,3.26,-2,
"C07256",99,3.35,0,
"C07257",-15.8,3.26,0,
"C07258",11.57,2.52,1,
"C07259","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07260","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07261","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07262","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07263",129.52,4.52,0,
"C07264","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07265","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07266","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07267","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07268","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07269","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07270","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07271",6.16,3.73,0,
"C07272",-54.5,1.15,0,
"C07273",-61.96,0.99,0,
"C07274",113.68,3.69,1,
"C07275",-58.78,1.14,0,
"C07276",-41.34,1.13,0,
"C07277",-686.89,2.93,-2,
"C07278",-371.11,3.05,0,
"C07279","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07280","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07281","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07282","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07283","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07285",-338.54,2.84,0,
"C07286","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C07287",-7.61,0.62,0,
"C07288",-15.63,0.63,0,
"C07289",41.49,4.79,-1,
"C07290",-108.03,2.74,0,
"C07291","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07292","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07293","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07294","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07295","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07296",-768.58,3.79,-3,
"C07297",-795.55,3.87,-3,
"C07299","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07300","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07301",-45.48,0.95,0,
"C07302",-849.69,3.75,-3,
"C07303",-849.69,3.75,-3,
"C07304",-289.43,3.3,0,
"C07305","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07306",-176.16,5.64,2,
"C07307",-289.43,3.3,0,
"C07308","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07309","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07310",-89.78,9.78,0,
"C07311",33.04,7.39,0,
"C07312",-95.44,1.87,0,
"C07313","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07314","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07315","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07316","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07317","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07318","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07319","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07320",-43.7,1.59,-1,
"C07321","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07322",151.97,3.14,0,
"C07323",-148.82,6.67,-2,
"C07324","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07325",113.82,3,1,
"C07326",-178.44,1.37,0,
"C07327",15.81,1.43,0,
"C07328",-40.48,0.34,0,
"C07329",-31,0.32,0,
"C07330",-10.75,0.59,0,
"C07331","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07332",-80.92,1.8,0,
"C07334",-93.01,2.53,-1,
"C07335",-365.05,0.37,-1,
"C07336","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07337","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07338",-77.35,1.45,-1,
"C07339",78.68,3.27,2,
"C07340","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07341","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07342","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07343",-801.95,3.91,-3,
"C07344","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07345","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07346",-88.22,7.16,0,
"C07347",-747.88,3.97,-3,
"C07348",-786.14,3.96,-3,
"C07349","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07350",-117.39,1.4,0,
"C07351","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07354",-92.19,1.37,-1,
"C07355",-114.55,1.24,-1,
"C07356",-15.94,2.21,-1,
"C07357",-69.83,1.67,-1,
"C07359",-10.09,2.53,0,
"C07360",40.54,5.05,1,
"C07361","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07362","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07363",17.28,2.15,1,
"C07364",-677.32,7.69,0,
"C07365","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07366",72.89,3.08,0,
"C07367",31.02,3.04,0,
"C07368",26.83,3.18,1,
"C07369",-121.77,6.79,0,
"C07370",-115.21,6.8,0,
"C07371",-36.52,1.68,0,
"C07372","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07373",-5.64,3.66,0,
"C07374","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07375",-26.51,1.61,1,
"C07376","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07377","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07378",56.02,2.47,0,
"C07379",102.4,3.09,1,
"C07380","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07381",-12.33,1.98,1,
"C07382","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07383",-48.1,1.82,1,
"C07384","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07385","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07386","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07387","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07388","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07389","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07390","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07391",81.68,2.23,1,
"C07392","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07393",-45.47,7.45,0,
"C07394",-397.7,12.73,0,
"C07395",-447.39,0.97,-3,
"C07396","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07397",76.52,3.39,0,
"C07398",-84.72,2.17,-1,
"C07400",35.55,3.56,1,
"C07401",16.59,1.69,1,
"C07402",12.07,1.71,1,
"C07403",142.11,3.48,0,
"C07404",100.59,3.09,1,
"C07405",70.63,3.09,1,
"C07406",5.86,2.08,1,
"C07407",-11.24,2.38,1,
"C07408",85.8,3.03,1,
"C07409",95.4,2.2,1,
"C07410",-19.06,1.94,1,
"C07411",-95.46,1.22,0,
"C07412",192.87,3.14,1,
"C07413","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07414",157.89,5.46,0,
"C07415",-40.3,3.13,0,
"C07416",-3.08,1.73,1,
"C07417",-12.82,2.44,0,
"C07418",-85.19,0.78,0,
"C07419","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07420",8.64,3.73,2,
"C07421","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07422",-100.38,1.66,0,
"C07423","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07424",-12.84,2.88,0,
"C07425","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07426","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07427",107.5,3.5,0,
"C07428",-39.64,1.26,0,
"C07429",122.12,6.55,0,
"C07430",39.09,0.97,1,
"C07431","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07432",13.57,1.46,0,
"C07433","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07434",-69.8,1.78,0,
"C07435",51.71,2.08,1,
"C07436","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07437",-16.43,1.25,0,
"C07438",26.79,0.89,1,
"C07439","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07440",24.65,2.21,0,
"C07441",-40.38,1.28,1,
"C07442","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07443",20.82,1.85,0,
"C07445",3.78,1.91,1,
"C07446",-36.89,1.42,-1,
"C07447",-33.81,0.73,0,
"C07448","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07449","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07450",66.79,1.55,0,
"C07451",54.42,2.64,1,
"C07452",76.14,2.46,1,
"C07453",-41.82,1.41,1,
"C07454",45.9,1.88,1,
"C07455","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07456","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07457","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07458","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07459","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07460","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07461","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07462","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07463",66.71,2.75,0,
"C07464",-25.24,2.95,0,
"C07465","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07466",-90.22,2.99,1,
"C07467",-15.52,2.41,-2,
"C07468","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07469","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07470",-166.88,1.11,-1,
"C07471",-25.45,2.06,1,
"C07472","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07473",-11.98,2.29,1,
"C07474",-9.26,1.5,0,
"C07475",37.74,1.92,0,
"C07476","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07477","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07478",-162.27,1.16,-2,
"C07479",-166.66,0.67,-2,
"C07480",-3.19,2.54,0,
"C07481",9.08,2.85,0,
"C07482",65.42,3.48,-1,
"C07483","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07484",101.46,5.61,0,
"C07485",108.5,5.13,0,
"C07486",29.75,2.53,0,
"C07487","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07488","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07489",-25.22,1.34,0,
"C07490",-49.41,0.94,0,
"C07491",-41.34,2.26,0,
"C07492",5.19,2.9,0,
"C07493",0.18,2.88,0,
"C07494","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07495",-39.66,2.91,0,
"C07496",16.66,3.72,0,
"C07497","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07498","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07499",-44.63,1.33,0,
"C07500",-61.36,0.51,0,
"C07501",-135.2,1.51,0,
"C07502","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07503",49.54,2.89,-1,
"C07504","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07505",-63.65,1.02,0,
"C07506",16.01,3.52,1,
"C07507","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07508",88.78,3.4,0,
"C07509",-48.42,3.25,0,
"C07510",110.62,3.95,2,
"C07511","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07512",53.28,2.01,1,
"C07513",-59.3,1.41,1,
"C07514",28.4,0.83,1,
"C07515","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07516","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07517","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07518","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07519","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07520","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07521","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07522",7.09,1.49,0,
"C07523",-10.3,1.17,0,
"C07524",74.82,3.36,0,
"C07525",18.33,1.72,1,
"C07526",-20.08,1.7,1,
"C07527",-43.22,1.04,0,
"C07528",32.15,1.73,0,
"C07529",37.01,1.75,0,
"C07530",12.25,1.82,1,
"C07531",4.74,1.45,1,
"C07532",35.39,1.74,0,
"C07533",-60.53,1.39,1,
"C07534",81.09,6.83,0,
"C07535","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07536",-87.79,1.26,0,
"C07537","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07538",79.72,1.97,1,
"C07539",63.05,2.1,0,
"C07540","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07541","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07542","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07543","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07544","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07545","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07546",-39.98,4.04,2,
"C07547","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07548","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07549","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07550","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07551","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07552","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07553","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07554","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07555","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07556","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07557",-24.28,3.79,0,
"C07558","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07559",21.43,1.04,1,
"C07560",51.6,2.08,0,
"C07561",-10.8,1.9,0,
"C07562","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07563","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07564",18.16,2,1,
"C07565",-4.25,1.02,0,
"C07566",33.68,3.97,0,
"C07567",77.67,3.46,0,
"C07568",102.94,3.44,0,
"C07569","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07570",140.43,3.06,0,
"C07571","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07572",22.21,5.63,1,
"C07573","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07574","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07575",92.67,2.69,0,
"C07576",-182.89,1.96,0,
"C07577",-29.39,2.44,1,
"C07578",8.96,1.69,0,
"C07580",-6.47,2.93,0,
"C07581",80.02,3.2,0,
"C07582",11.37,3.36,-1,
"C07583","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07584",6.4,1.96,0,
"C07585",-21.84,1.92,0,
"C07586",-72.54,1.99,0,
"C07587","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07588",-123.11,1.11,-1,
"C07589","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07590","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07591",-27.46,1.16,0,
"C07592",-69.91,3.47,0,
"C07593",-85.59,5.02,0,
"C07594",8.04,2.37,0,
"C07595","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07596","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07597","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07598",-157.53,1.33,-2,
"C07599",-2.95,2.75,0,
"C07600","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07601","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07602","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07603","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07604","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07605","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07606","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07607",-236.11,7.33,1,
"C07608","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07609","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07610",-246.6,4.42,0,
"C07611",-11.82,2.07,0,
"C07612",-196.24,7.16,1,
"C07613",-189.62,7.83,1,
"C07614","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07615","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07616",42.74,1.86,0,
"C07617",-21.16,1.42,0,
"C07618",95.74,6.84,0,
"C07619",116.95,7.12,0,
"C07620",1.94,2.08,0,
"C07621",-63.65,2.25,-1,
"C07622","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07623","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07624",124.01,3.47,0,
"C07625",87.17,2.36,2,
"C07626",76.44,2.57,1,
"C07627",48.59,1.94,1,
"C07628",54.9,8.26,0,
"C07629",162.02,7.51,0,
"C07630","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07631","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07632",-49.38,7.19,0,
"C07633","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07634","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07635",-42.82,7.18,0,
"C07636",58.62,3.16,0,
"C07637",-78.65,2.21,0,
"C07638","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07639",-24.25,4.46,0,
"C07640","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07641","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07642",174.24,5.64,0,
"C07643","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07644","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07645","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07646","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07647","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07648",81.35,2.83,0,
"C07649","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07650","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07651",7.06,1.2,2,
"C07652",142.79,6.79,0,
"C07653","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07654",-156.74,5.19,-1,
"C07655",-288.14,2.81,1,
"C07656",-187.34,3.83,5,
"C07657",-173.39,3.66,5,
"C07658","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07659","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07660","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07661",-41.51,3.31,-1,
"C07662",-55.59,4,-1,
"C07663",-31.14,3.83,-1,
"C07664","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07665","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07666","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07667",-217.58,5.87,0,
"C07668",64.05,2.12,1,
"C07669","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07670",-28.72,2.5,-1,
"C07671",-107.86,7.63,1,
"C07672",0.78,2.9,2,
"C07673",44.08,3.08,2,
"C07674",10.45,2.99,2,
"C07675","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07676","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07677","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07678","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07679","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07680","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07681","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07682","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07683","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07684","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07685","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07686","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07687","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07688","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07689","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07690","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07691","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07692","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07693",-38.38,2.37,0,
"C07694","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07695","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C07696","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07697","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07698","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07699","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07700","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07701","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07702","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07703","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07704",-134.38,2.38,-1,
"C07705","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07706",-138.49,2.29,-1,
"C07707","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C07708",-158,1.29,0,
"C07709","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07710",119.1,4.18,-1,
"C07711",45.44,3.95,0,
"C07712",34.38,7.53,0,
"C07713","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07714","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C07715",73.38,2.83,0,
"C07716","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07717",-9.26,2.67,0,
"C07718",-54.33,2.76,-1,
"C07719",-20.77,1.44,0,
"C07720",-31.87,1.44,0,
"C07721",3.8,2.52,0,
"C07722",-32.58,2.57,0,
"C07723",-6.16,2.7,0,
"C07724",-9.26,2.67,0,
"C07725",-57.6,2.81,-1,
"C07726",-19.22,1.42,0,
"C07727",9.52,1.46,0,
"C07728",-31.38,1.63,0,
"C07729",27.97,2.85,0,
"C07730","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07731",-116.25,1.48,-1,
"C07732",-6.68,3.23,0,
"C07733",-69.74,2.13,-1,
"C07734",-161.6,1.43,-1,
"C07735","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07736",-448.03,0.94,-4,
"C07737","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07738","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07739","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07740","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C07741","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07742","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07743",-31.01,3.44,0,
"C07744","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07746","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07747","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07748","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07749","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07750",41.47,2.19,1,
"C07751","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07752",-445.77,0.99,-3,
"C07753","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07754","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07755","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07756",-142.9,1.85,-1,
"C07757","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07758","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07759","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07760","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C07761",-139.67,2.6,-1,
"C07762","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C07763","Not calculated","Not calculated","Not calculated","Unlabled atoms"
