abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
hemeA_#1	Heme A	C49H54FeN4O6	-6	Cytosol			1787721	7	
cdpglyc	CDPglycerol	C12H19N3O13P2	-2	Cytosol	C00513		1787737	7	
gtca1	glycerol teichoic acid (n=25), unlinked, unsubstituted	C91H178N2O136P25	-25	Cytosol			1787738	7	
gtca2	glycerol teichoic acid (n=25), unlinked, D-ala substituted	C166H328N27O161P25	0	Cytosol			1787739	7	
gtca3	glycerol teichoic acid (n=25), unlinked, glucose substituted	C241H428N2O261P25	-25	Cytosol			1787740	7	
tcam	minor teichoic acid (acetylgalactosamine glucose phosphate, n=30)	C420H750N30O420P30	-30	Cytosol			1787741	7	
Stmyn	Streptomycin	C21H39N7O12	-3	Cytosol	C00413	C00413	1787804	7	
3AStmyn	3"-Adenylylstreptomycin	C31H51N12O18P	-3	Cytosol	C03462	C03462	1787805	7	
Sptmyn	Spectinomycin	C14H24N2O7	0	Cytosol	C02078		1787806	7	
3AStrmyn	3''-Adenylylspectinomycin	C24H36N7O13P	0	Cytosol	C03580		1787807	7	
lac6p	Lactose-6-phosphate	C12H21O14P	-2	Cytosol	C05396		1787809	7	
dgal6p	D-Galactose 6-phosphate	C6H11O9P	-2	Cytosol	C01113		1787810	7	
Cit-Mg	Citrate-Mg	C6H5O7Mg	-1	Cytosol, Extra-organism			1787813	7	
SA_FREE_FA	SA Free Fatty Acids	X	0	Cytosol			1787815	7	
pala_SA	Phosphatidylananine_SA	C1986H3698N50O450P50	-50	Cytosol			1787816	7	
pgly_SA	Phosphatidylglycine_SA	C1936H3598N50O450P50	-50	Cytosol			1787817	7	
pleu_SA	Phosphatidylleucine_SA	C2136H3998N50O450P50	-50	Cytosol			1787818	7	
plys_SA	Phosphatidyllysine_SA	C2136H4098N100O450P50	0	Cytosol			1787819	7	
DGDG_SA	Diglucosyl Diglyceride (SA)	C18H40O18	0	Cytosol			1787820	7	
glcp_SA	Glucosyl Phosphoglycerol (SA)	C996H1868N62O1116P150	-100	Cytosol			1787821	7	
cd2	Cadmium	Cd	2	Cytosol, Extra-organism, Periplasm	C01413		1800088	5,9	
appl	1-Aminopropan-2-ol	C3H10NO	1	Cytosol	C05771	1867-62-5	1800222	10,4,9	
pre6b	Precorrin 6B	C44H49N4O16	-7	Cytosol	C06319		1800230	10,4	
hgbyr	Hydrogenobyrinate	C45H54N4O14	-6	Cytosol	C06399		1800231	10,4	
pre8	Precorrin 8	C45H53N4O14	-7	Cytosol	C06408		1800232	10,4	
hgbam	Hydrogenobyrinate a,c diamide	C45H57N6O12	-5	Cytosol	C06503		1800233	10,4,9	
co2dam	Cob(II)yrinate a,c diamide	C45H56CoN6O12	-4	Cytosol	C06504	7625-23-2	1800234	10,4,9	
pre3a	Precorrin 3 A	C43H43N4O16	-7	Cytosol	C05772		1800297	10,4	
pre3b	Precorrin 3B	C43H44N4O17	-6	Cytosol	C06406		1800298	10,4	
pre4	Precorrin 4	C44H44N4O17	-8	Cytosol	C06407		1800299	10,4	
pre5	Precorrin 5	C45H46N4O17	-8	Cytosol	C06416		1800300	10,4	
3oodcoa	3-Oxooctadecanoyl-CoA	C39H64N7O18P3S	-4	Cytosol			1800302	5	
h4spt	tetrahydrosarcinapterin	C35H48N7O19P1	-4	Cytosol			1800330	9	
mh4spt	N5-methyl-tetrahydrosarcinapterin	C36H50N7O19P1	-4	Cytosol			1800331	9	
fdox	ferredoxin (oxidized) 2[4Fe-4S]	Fe8S8X	3	Cytosol			1800332	10,9	
fdred	ferredoxin (reduced) 2[4Fe-4S]	Fe8S8X	2	Cytosol			1800333	10,9	
com	coenzyme m	C2H5O3S2	-1	Cytosol	C03576		1800334	9	
mcom	methylcoenzyme m	C3O3S2H7	-1	Cytosol	C03920		1800335	9	
cob	coenzyme b	C11H19N1O7P1S1	-3	Cytosol	C04628		1800336	9	
hsfd	heterodisulfide	C13H22N1O10P1S3	-4	Cytosol	C04832		1800337	9	
ch4	methane	CH4	0	Cytosol, Extra-organism	C01438		1800338	9	
f420-2	coenzyme ferredoxin 420-2 (oxidized)	C29H32O18N5P1	-4	Cytosol	C00876	64885-97-8	1800341	9	
f420-2h2	coenzyme ferredoxin 420-2 (reduced)	C29H34O18N5P1	-4	Cytosol			1800342	9	
formh4spt	formyltetrahydrosarcinapterin	C36H48N7O20P1	-4	Cytosol			1800343	9	
menylh4spt	methenyl-tetrahydrosarcinapterin	C36H47N7O19P1	-3	Cytosol			1800344	9	
mleneh4spt	N5,N10-methylene-5,6,7,8-tetrahydromethanopterin	C36H48N7O19P1	-4	Cytosol			1800345	9	
mphen	methanophenazine (oxidized)	C37N2O1H50	0	Cytosol			1800346	9	
mphenh2	methanophenazine (reduced)	C37N2O1H52	0	Cytosol			1800347	9	
dma	dimethylamine	C2H8N	1	Cytosol, Extra-organism	C00543	124-40-3	1800348	9	
mma	Methylamine	C1H6N	1	Cytosol, Extra-organism	C00218		1800349	2,9	
6ax6ax	N-(6-Aminohexanoyl)-6-aminohexanoate	C12H24N2O3	0	Cytosol	C01255		1800355	9	
oxadpcoa	3-Oxoadipyl-CoA	C27H37N7O20P3S	-5	Cytosol	C02232		1800358	4	
6ax	6-Aminohexanoate	C6H13NO2	0	Cytosol	C02378	60-32-2	1800360	9	
5odhf2a	5-Oxo-4,5-dihydrofuran-2-acetate	C6H5O4	-1	Cytosol	C03586	111844-33-8	1800362	10,4,9	
atrz	Atrazine	C8H16ClN5	2	Cytosol	C06551		1800366	9	
hatrz	Hydroxyatrazine	C8H17N5O	2	Cytosol	C06552	2163-68-0	1800367	9	
carn	L-Carnosine	C9H14N4O3	0	Cytosol	C00386	305-84-0	1800369	2,9	
glutrna(gln)	L-Glutamyl-tRNA(Gln)	C5H7NO3R	0	Cytosol			1800370	4,9	
indaccoa	S-2-(indol-3-yl)acetyl-CoA	C31H39N8O17P3S	-4	Cytosol			1800371	9	
5oxpro	5-Oxoproline	C5H6NO3	-1	Cytosol	C01879	98-79-3	1800372	10,2,9	
cysam	Cysteamine	C2H8NS	1	Cytosol	C01678	60-23-1	1808054	2	
pre6a	Precorrin 6A	C44H47N4O16	-7	Cytosol	C06320		1808168	10,4	
co1dam	Cob(I)yrinate a,c diamide	C45H56CoN6O12	-5	Cytosol	C06505		1808173	10,4,9	
dolichol_L	Dolichol, human liver homolog	C1080H1768O10	0	Cytosol, Endoplasmic Reticulum			1809211	2	
dolichol_U	Dolichol, human uterine homolog	C1025H1680O10	0	Cytosol, Endoplasmic Reticulum			1809212	2	
dolp_L	Dolichol phosphate, human liver homolog	C1080H1758O40P10	-20	Cytosol, Endoplasmic Reticulum			1809214	2	
dolp_U	Dolichol phosphate, human uterine homolog	C1025H1670O40P10	-20	Cytosol, Endoplasmic Reticulum			1809216	2	
doldp_L	Dolichol diphosphate, human liver homolog	C1080H1758O70P20	-30	Endoplasmic Reticulum			1809266	2	
doldp_U	Dolichol diphosphate, human uterine homolog	C1025H1670O70P20	-30	Endoplasmic Reticulum			1809267	2	
dolglcp_L	Dolichyl beta-D-glucosyl phosphate, human liver homolog	C1140H1868O90P10	-10	Cytosol, Endoplasmic Reticulum			1809280	2	
dolglcp_U	Dolichyl beta-D-glucosyl phosphate, human uterine homolog	C1085H1780O90P10	-10	Cytosol, Endoplasmic Reticulum			1809281	2	
dolmanp_L	Dolichyl phosphate D-mannose, human liver homolog	C1140H1868O90P10	-10	Cytosol, Endoplasmic Reticulum			1809321	2	
dolmanp_U	Dolichyl phosphate D-mannose, human uterine homolog	C1085H1780O90P10	-10	Cytosol, Endoplasmic Reticulum			1809323	2	
naglc2p_L	N-Acetyl-D-glucosaminyldiphosphodolichol, human liver homolog	C1160H1898N10O120P20	-20	Cytosol			1809448	2	
naglc2p_U	N-Acetyl-D-glucosaminyldiphosphodolichol, human uterine homolog	C1105H1810N10O120P20	-20	Cytosol			1809451	2	
chito2pdol_L	N,N'-Diacetylchitobiosyldiphosphodolichol, human liver homolog	C1240H2028N20O170P20	-20	Cytosol			1809476	2	
chito2pdol_U	N,N'-Diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1185H1940N20O170P20	-20	Cytosol			1809478	2	
mpdol_L	beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol, human liver homolog	C1300H2128N20O220P20	-20	Cytosol			1809496	2	
mpdol_U	beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol, human uterine homolog	C1245H2040N20O220P20	-20	Cytosol			1809499	2	
m1mpdol_L	alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol, human liver homolog	C1360H2228N20O270P20	-20	Cytosol			1809502	2	
m1mpdol_U	alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol, human uterine homolog	C1305H2140N20O270P20	-20	Cytosol			1809503	2	
m2mpdol_L	(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1420H2328N20O320P20	-20	Cytosol			1809504	2	
m2mpdol_U	(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1365H2240N20O320P20	-20	Cytosol			1809506	2	
m3mpdol_L	(alpha-D-mannosyl)3-beta-D-mannosyl-diacetylchitodiphosphodolichol, human liver homolog	C1480H2428N20O370P20	-20	Cytosol			1809507	2	
m3mpdol_U	(alpha-D-mannosyl)3-beta-D-mannosyl-diacetylchitodiphosphodolichol, human uterine homolog	C1425H2340N20O370P20	-20	Cytosol			1809508	2	
m4mpdol_L	(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1540H2528N20O420P20	-20	Cytosol, Endoplasmic Reticulum			1809509	2	
m4mpdol_U	(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1485H2440N20O420P20	-20	Cytosol, Endoplasmic Reticulum			1809510	2	
m5mpdol_L	(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1600H2628N20O470P20	-20	Endoplasmic Reticulum			1809511	2	
m5mpdol_U	(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1545H2540N20O470P20	-20	Endoplasmic Reticulum			1809512	2	
m6mpdol_L	(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1660H2728N20O520P20	-20	Endoplasmic Reticulum			1809513	2	
m6mpdol_U	(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1605H2640N20O520P20	-20	Endoplasmic Reticulum			1809514	2	
m7mpdol_L	(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1720H2828N20O570P20	-20	Endoplasmic Reticulum			1809515	2	
m7mpdol_U	(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1665H2740N20O570P20	-20	Endoplasmic Reticulum			1809517	2	
m8mpdol_L	(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1780H2928N20O620P20	-20	Endoplasmic Reticulum			1809518	2	
m8mpdol_U	(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1725H2840N20O620P20	-20	Endoplasmic Reticulum			1809519	2	
g1m8mpdol_L	alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1840H3028N20O670P20	-20	Endoplasmic Reticulum			1809521	2	
g1m8mpdol_U	alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1785H2940N20O670P20	-20	Endoplasmic Reticulum			1809522	2	
g2m8mpdol_L	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1900H3128N20O720P20	-20	Endoplasmic Reticulum			1809523	2	
g2m8mpdol_U	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1845H3040N20O720P20	-20	Endoplasmic Reticulum			1809524	2	
g3m8mpdol_L	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1960H3228N20O770P20	-20	Endoplasmic Reticulum			1809525	2	
g3m8mpdol_U	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1905H3140N20O770P20	-20	Endoplasmic Reticulum			1809526	2	
hista	Histamine	C5H10N3	1	Cytosol, Extra-organism	C00388	51-45-6	1810403	2,9	
dedoldp_L	Dehydrodolichol diphosphate, human liver homolog	C1080H1738O70P20	-30	Cytosol			1814660	2	
dedoldp_U	Dehydrodolichol diphosphate, human uterine homolog	C1025H1650O70P20	-30	Cytosol			1814662	2	
23dhba	(2,3-Dihydroxybenzoyl)adenylate	C17H17N5O10P	-1	Cytosol	C04030		1816866	10,5	
dedolp_L	Dehydrodolichol phosphate, human liver homolog	C1080H1738O40P10	-20	Cytosol			1817981	2	
dedol_L	Dehydrodolichol, human liver homolog	C1080H1748O10	0	Cytosol			1821257	2	
dedolp_U	Dehydrodolichol phosphate, human uterine homolog	C1025H1650O40P10	-20	Cytosol			1821321	2	
dedol_U	Dehydrodolichol, human uterine homolog	C1025H1660O10	0	Cytosol			1821333	2	
Asn-X-Ser/Thr	protein-linked asparagine residue (N-glycosylation site)	XH	0	Endoplasmic Reticulum, Lysosome			1821398	2	
g3m8masn	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C88H147N2O70X	0	Endoplasmic Reticulum, Golgi Apparatus			1821532	2	
g2m8masn	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C82H137N2O65X	0	Endoplasmic Reticulum, Golgi Apparatus			1822369	2	
g1m8masn	(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C76H127N2O60X	0	Endoplasmic Reticulum, Golgi Apparatus			1822408	2	
m8masn	(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C70H117N2O55X	0	Endoplasmic Reticulum, Golgi Apparatus			1822417	2	
m4masn	(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C46H77N2O35X	0	Golgi Apparatus			1822816	2	
m7masnB	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)	C64H107N2O50X	0	Endoplasmic Reticulum, Golgi Apparatus			1822900	2	
m6masnC	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C58H97N2O45X	0	Golgi Apparatus			1822901	2	
m5masnC	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C52H87N2O40X	0	Golgi Apparatus			1822902	2	
m7masnA	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)	C64H107N2O50X	0	Golgi Apparatus			1822939	2	
m7masnC	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)	C64H107N2O50X	0	Golgi Apparatus			1822940	2	
m6masnA	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C58H97N2O45X	0	Golgi Apparatus			1822944	2	
m6masnB1	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C58H97N2O45X	0	Golgi Apparatus			1822945	2	
m6masnB2	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C58H97N2O45X	0	Golgi Apparatus			1822946	2	
m5masnB1	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C52H87N2O40X	0	Golgi Apparatus			1822947	2	
m5masnB2	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C52H87N2O40X	0	Golgi Apparatus			1822948	2	
n2m2masn	((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C50H83N4O35X	0	Golgi Apparatus			1830430	2	
fn2m2masn	N4-{N-Acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,3)-[N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-(1,4)-[alpha-L-fucosyl-(1,6)]-N-acetyl-beta-D-glucosaminyl}asparagine	C56H93N4O39X	0	Golgi Apparatus			1830471	2	
l2fn2m2masn	{[galactosyl-(1,4)-N-Acetyl-glucosaminyl-(1,2)-mannosyl-(1,3)-],[N-acetyl-glucosaminyl-(1,2)-mannosyl-(1,6)-]mannosyl-(1,4)-N-acetyl-glucosaminyl-(1,4)-[fucosyl-(1,6)]-N-acetyl-glucosaminyl}asparagine	C68H113N4O49X	0	Golgi Apparatus			1830502	2	
s2l2fn2m2masn	PA6	C90H145N6O65X	-2	Extra-organism, Golgi Apparatus, Lysosome			1830545	2	
n3m2masn	((N-acetyl-D-glucosaminyl)3-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C58H96N5O40X	0	Golgi Apparatus			1830634	2	
n4m2masn	((N-acetyl-D-glucosaminyl)4-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C66H109N6O45X	0	Golgi Apparatus			1830652	2	
n5m2masn	((N-acetyl-D-glucosaminyl)5-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C74H122N7O50X	0	Golgi Apparatus			1830653	2	
ad	acetamide	C2H5NO	0	Cytosol, Extra-organism			1831451	10,3	
dgdcg_SA	Diglucosyl-diacylglycerol (SA)	C2436H4548O750	100	Cytosol			1836658	7	
mfr(b)	methanofuran b	C34H44N6O14	-2	Cytosol			1837088	9	
formmfr(b)	formylmethanofuran b	C35H43N6O15	-3	Cytosol			1837090	9	
allul6p	Allulose 6-phosphate	C6H11O9P	-2	Cytosol			1837836	5	
copre2	cobalt-precorrin 2	C42H38N4O16Co	-8	Cytosol	C11538		1838088	10,9	
copre3	cobalt-precorrin 3	C43H40N4O16Co	-8	Cytosol	C11539		1838288	10,9	
copre4	cobalt-precorrin 4	C44H43N4O16Co	-7	Cytosol	C11540		1838327	10,9	
copre5	cobalt-precorrin 5	C45H45N4O16Co	-7	Cytosol	C11541		1838354	10,9	
copre6	cobalt-precorrin 6	C44H45N4O16Co	-7	Cytosol	C11542		1838372	10,9	
codhpre6	cobalt-dihydro-precorrin 6	C44H47N4O16Co	-7	Cytosol	C11543		1838462	10,9	
copre8	cobalt-precorrin 8	C45H52N4O14Co	-6	Cytosol	C11545		1838497	10,9	
cobya	Cobyrinate	C45H52N4O14Co	-6	Cytosol	C05773		1838524	10,9	
glc3man	glucose-1,2-(2)[glucose-1,3]-mannose oligosaccharide	C24H42O21	0	Golgi Apparatus			1838658	2	
glc2man	(2)[glucose-1,3]-mannose oligosaccharide	C18H32O16	0	Golgi Apparatus			1838689	2	
glc1man	glucose-1,3-mannose oligosaccharide	C12H22O11	0	Golgi Apparatus			1838717	2	
g1m7masnC	glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)	C70H117N2O55X	0	Endoplasmic Reticulum, Golgi Apparatus			1838933	2	
g1m7masnB	glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)	C70H117N2O55X	0	Endoplasmic Reticulum, Golgi Apparatus			1838934	2	
g1m6masnB1	glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C64H107N2O50X	0	Endoplasmic Reticulum, Golgi Apparatus			1838949	2	
pre2	dihydrosirohydrochlorin	C42H40N4O16	-8	Cytosol	C02463		1839963	10	
scl2	sirohydrochlorin 2	C42H38N4O16	-8	Cytosol	C05778		1839965	10	
fa19a	Fatty Acid (Anteiso-C19:0)	C19H37O2	-1	Cytosol			1840391	7	
fa20n	Fatty Acid (C20:0)	C20H39O2	-1	Cytosol			1840403	7	
pa_SA	phosphatidate (Saureus)	C1560H3015O192P50	-100	Cytosol			1840415	7	
12dgr_SA	1,2-Daicylglycerol (Saureus)	C1560H3065O42	0	Cytosol			1840445	7	
3g12dgr_SA2	3-D-Glucosyl-1,2-diacylglycerol	C1860H3615O292	50	Cytosol			1840453	7	
cdpdag_SA	CDPdiacylglycerol (Saureus)	C2010H3615N150O542P100	-100	Cytosol			1840459	7	
ps_SA	phosphatidylserine (Saureus)	C1710H3315N50O292P50	-50	Cytosol			1840466	7	
pe_SA	Phosphatidylethanolamine (Saureus)	C1660H3365N50O192P50	0	Cytosol			1840478	7	
plys_SA2	Phosphatidyllysine_SA2	C1860H3715N100O242P50	0	Cytosol			1840488	7	
pgly_SA2	Phosphatidylglycine_SA2	C1660H3215N50O242P50	-50	Cytosol			1840495	7	
pleu_SA2	Phosphatidylleucine_SA2	C1860H3615N50O242P50	-50	Cytosol			1840508	7	
pala_SA2	Phosphatidylalanine_SA2	C1710H3315N50O242P50	-50	Cytosol			1840515	7	
pgp_SA	Phosphatidylglycerophosphate (Saureus)	C1710H3315O442P100	-150	Cytosol			1840527	7	
pg_SA	Phosphatidylglycerol (Saureus)	C1710H3365O292P50	-50	Cytosol			1840540	7	
clpn_SA	Cardiolipin (Saureus)	C3270H6330O434P100	-100	Cytosol			1840546	7	
dgdcg_SA2	Diglucosyl-diacylglycerol (SA) 2	C2160H4165O542	100	Cytosol			1840560	7	
gggp	(S)-3-O-geranylgeranylglyceryl phosphate	C23H39O6P1	-2	Cytosol			1841995	9	
dgggp	digeranylgeranylglyceryl phosphate	C43H71O6P1	-2	Cytosol			1841996	9	
cdgggp	CDP-2,3-digeranylgeranyl-sn-glycerol	C52H83N3O13P2	-2	Cytosol			1842036	9	
dgggps	2,3-di-O-geranylgeranyl-sn-glyceroserine	C46H77N1O8P1	-1	Cytosol			1842037	9	
m3hdp	methyl-3-hydroxyl diphosphate	C5H11O8P2	-3	Cytosol			1842151	9	
3hgrdp	3-hydroxy-geranyl diphsophate	C10H19O8P2	-3	Cytosol			1842157	9	
3hfrdp	3-hydroxy-farnesyl diphosphate	C15H27O8P2	-3	Cytosol			1842158	9	
3hggdp	3-hydroxy-geranylgeranyl diphosphate	C20H35O8P2	-3	Cytosol			1842159	9	
3hdgggp	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol	C43H73O7P1	-2	Cytosol			1842160	9	
dpgps	2,3-O-phytanyl-sn-glycero-1-phosphoserine	C46H93N1O8P1	-1	Cytosol			1842215	9	
dpgpe	2,3-O-phytanyl-sn-glycero-1-phosphoethanolamine	C45H94O6N1P1	0	Cytosol			1842259	9	
3hcdgggp	CDP-2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol	C52H85N3O14P2	-2	Cytosol			1842309	9	
3hdgggps	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glyceroserine	C46H79N1O9P1	-1	Cytosol			1842316	9	
3hdpgps	2-O-(3'-hydroxy)phytanyl-3-O-phytanyl-sn-glycero-l-phosphoserine	C46H93N1O9P1	-1	Cytosol			1842317	9	
3hdpgpe	2-O-(3'-hydroxy)phytanyl-3-O-phytanyl-sn-glycero-l-phosphoethanolamine	C45H94O7N1P1	0	Cytosol			1842320	9	
dggpgp	2,3-di-O-geranyl-sn-glycerol-1-phospho-3'-sn-glycerol phosphate	C46H77O11P2	-3	Cytosol			1842472	9	
dggpg	2,3-di-O-geranyl-sn-glycerol-1-phospho-3'-sn-glycerol	C46H78O8P1	-1	Cytosol			1842473	9	
dpgpg	2,3-di-O-phytanyl-sn-glycerol-1-phospho-3'-sn-glycerol	C46H94O8P1	-1	Cytosol			1842474	9	
3hdggpgp	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol-1-phospho-3'-sn-glycerol phosphate	C46H79O12P2	-3	Cytosol			1842475	9	
3hdggpg	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol-1-phospho-3'-sn-glycerol	C46H80O9P1	-1	Cytosol			1842477	9	
3hdpgpg	2-O-(3'-hydroxy)phytanyl-3-O-phytanyl-sn-glycerol-1-phospho-3'-sn-glycerol	C46H94O9P1	-1	Cytosol			1842478	9	
dggpi	2,3-di-O-geranyl-sn-glycero-1-phospho-myo-inositol	C49H82O11P1	-1	Cytosol			1842588	9	
3hdggpi	2-O-(3'hydroxy)geranyl-3-O-geranyl-sn-glycero-1-phospho-myo-inositol	C49H84O12P1	-1	Cytosol			1842595	9	
3hdpgpi	2-O-(3'-hydroxyl)phytanyl-3-O-phytanyl-sn-glycero-1-phospho-myo-inositol	C49H98O12P1	-1	Cytosol			1842623	9	
dpgpi	2,3-O-phytanyl-sn-glycero-1-phospho-myo-inositol	C49H98O11P1	-1	Cytosol			1842625	9	
agdpgpi	N-Acetyl-D-glucosaminyl archaetidylinositol	C57H111N1O16P1	-1	Cytosol			1842700	9	
gdpgpi	glucosaminyl archaetidyl-myo-inositol	C55H110N1O15P1	0	Cytosol			1842701	9	
f390a	coenzyme F390 (adenosine)	C39H43N10O24P2	-5	Cytosol			1851127	9	
f390g	coenzyme F390 (guanosine)	C39H43N10O25P2	-5	Cytosol			1851128	9	
s2l2n2m2masn	de-Fuc form of PA6	C84H135N6O61X	-2	Extra-organism, Lysosome			1862476	2	
s2l2n2m2m	de-Fuc form of PA6 (w/o peptide linkage)	C84H136N6O62	-2	Cytosol, Lysosome			1862478	2	
s2l2n2m2mn	de-Fuc, reducing GlcNAc removed form of PA6 (w/o peptide linkage)	C76H123N5O57	-2	Cytosol, Lysosome			1862498	2	
l2n2m2mn	de-Fuc, reducing GlcNAc removed, de-Sia form of PA6 (w/o peptide linkage)	C54H91N3O41	0	Cytosol, Lysosome			1862524	2	
n2m2mn	de-Fuc, reducing GlcNAc removed, de-Sia, de-Gal form of PA6 (w/o peptide linkage)	C42H71N3O31	0	Lysosome			1862531	2	
m2mn	(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine	C26H45NO21	0	Cytosol, Lysosome			1862557	2	
mn	beta-1,4-mannose-N-acetylglucosamine	C14H25NO11	0	Cytosol, Lysosome			1862570	2	
pcrn	propionyl-carnitine	C10H19NO4	0	Cytosol, Mitochondria, Peroxisome			1862604	2	
nabl	N-epsilon-acetyl-beta-lysine	C8H16N2O3	0	Cytosol			1862652	9	
n2m2nm	n2m2nmasn (w/o peptide linkage)	C58H97N5O41	0	Cytosol, Lysosome			1862874	2	
