abbreviation	name	synonyms	equation	subsystem	compartment	ecnumber	reversible	translocation	internal_id	confidence_score	notes	
3OAR121	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	3-ketoacyl acyl carrier protein reductase;, 3-oxoacyl-[ACP]reductase, 3-oxoacyl-[acyl-carrier-protein] reductase;, NADPH-specific 3-oxoacyl-[acylcarrier protein]reductase;, beta-ketoacyl acyl carrier protein (ACP) reductase;, beta-ketoacyl reductase;, beta-ketoacyl thioester reductase;, beta-ketoacyl-ACP reductase;, beta-ketoacyl-[acyl-carrier protein](ACP) reductase;, beta-ketoacyl-acyl carrier protein reductase;	[c] : 3ocddec5eACP + h + nadph --> 3hcddec5eACP + nadp	Cell Envelope Biosynthesis	Cytosol	1.1.1.100	Irreversible	N	2617100	4	not sure of reversibility//FabG acts on both saturated and unsaturated FA, long and short chain//AMF	
FEENTERexs	enterobactin Fe(III) binding (spontaneous)		[e] : enter + fe3 --> feenter	Inorganic Ion Transport and Metabolism	Extra-organism		Irreversible	N	2262559	4	reaction reflects function of siderophore ////Enterobactor is a siderophore - an iron-uptake molecule secreted by other micro-organisms.  Only siderophore produced by K-12.  produce/ingest it and remove the Fe before re-secreting the siderophore to collect more Fe from the environment.////MKA////reaction is in network to reflact the recycling of siderophones and then becoming reactivated with Fe to be took up again into the system -  AMF	
BETALDHx	betaine-aldehyde dehydrogenase	BADH, betaine aldehyde dehydrogenase, betaine aldehyde oxidase	[c] : betald + h2o + nad --> glyb + (2) h + nadh	Unassigned	Cytosol	1.2.1.8	Irreversible	N	1485542	4		
12PPDRtex	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)		12ppd-R[e] <==> 12ppd-R[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2708804		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
SARCOX	sarcosine oxidase		[c] : h2o + o2 + sarcs --> fald + gly + h2o2	Glycine and Serine Metabolism	Cytosol	1.5.3.1	Irreversible	N	2326835	3	PMID: 11170472//AMF//enzyme proven, but physiological function has yet to be determined////there are more N-methyl amino acids that are substrates	
2AGPGAT181	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase	[c] : 2agpg181 + atp + ocdcea --> amp + pg181 + ppi	Glycerophospholipid Metabolism	Cytosol	2.3.1.40	Irreversible	N	2707761	4	Aas proven to act on acyl-lysophosphoethanolamine and this is the substrate discussed for the enzyme, but most likely acts on other lipids as well a evident in the increased inorporation of exogenous lysophospholipids in the membrane with overexpression, such as exogenous 2-acyl-GP-choline that was argued to be a substrate for aas in PMID: 8300626//enzyme was also shown to function on the cytosolic side of the inner membrane//AMF	
G3PItex	glycero-3-phospho-1-inositol transport via diffusion (extracellular to periplasm)		g3pi[e] <==> g3pi[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2324512		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
DOGULNR	2,3 dioxo-L-gulonate reductase		[c] : 23doguln + h + nadh --> 3dhguln + nad	Alternate Carbon Metabolism	Cytosol		Irreversible	N	1484000	3	AMF//	
CBMKr	Carbamate kinase		[c] : atp + co2 + nh4 <==> adp + cbp + (2) h	Unassigned	Cytosol	2.7.2.2	Reversible	N	1771800	2	ArcC is near allD which leads to the production of cbp via oxalureate.  Based on the need for this reaction in the reverse direction to use allantoin as a nitrogen source via oxalureate, added this reaction as reversible.////PUTATIVE	
SHSL1	O-succinylhomoserine lyase (L-cysteine)	cystathionine g-synthase, cystathionine gamma-synthase	[c] : cys-L + suchms --> cyst-L + h + succ	Methionine Metabolism	Cytosol	4.2.99.9	Irreversible	N	141683	0		
MG2uabcpp	Magnesium (Mg+2) ABC transporter (ubtake, periplasm)		atp[c] + h2o[c] + mg2[p] --> adp[c] + h[c] + mg2[c] + pi[c]	Inorganic Ion Transport and Metabolism	Cytosol, Periplasm		Irreversible	Y	2386706	4	from transportDB,//Mg2+/Ni2+-ATPase (uptake) MgtA//http://www.tcdb.org/tcdb/tcfamilybrowse.php?tcname=3.A.3////also from PMID: 9622348////AMF	
MCTP1Bpp	murein crosslinking transpeptidase 1B:(A2pm->A2pm) (periplasm)		[p] : murein5p5p --> alaala + murein5px3p	Murein Biosynthesis	Periplasm		Irreversible	N	2528581	3	MrcA and MrcB (best characeterized) are bifunctional transglycosylase and transpeptidase forming enzymes//PMID: 3906031//together they are lethal for a double deletion//PMID: 10542235////MrdA and FtsI are part of the cell cycle proteins and are predicted to be DD-transpeptidases//PMID: 10542235//Also, pbpC is thought to be a transglycolase only	
GLYCLTt2rpp	glycolate transport via proton symport, reversible (periplasm)		glyclt[p] + h[p] <==> glyclt[c] + h[c]	Transport, Inner Membrane	Cytosol, Periplasm		Reversible	Y	1912368	4		
GLYTRS	Glycyl-tRNA synthetase		[c] : atp + gly + trnagly --> amp + glytrna + ppi	tRNA Charging	Cytosol	6.1.1.14	Irreversible	N	227975	4	Added to incorporate tRNA peptides into model	
23PDE9pp	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)	2',3'-Cyclic GMP 3'-nucleotidohydrolase	[p] : 23cgmp + h2o --> 3gmp + h	Nucleotide Salvage Pathway	Periplasm	3.1.4.16	Irreversible	N	2326066	4	PMID: 3005231//cpdB is a periplasmic enzyme that has two distinct bifunctional sites for the 23 cyclic phophatidase and the nucleotidase////these substrates were not give specifically in the paper, but were on KEGG as such and can all be sources of pi according to biolog data.////there could be more substrates//AMF	
PGP140abcpp	phosphatidylglycerophosphate transport via ABC system (n-C14:0, periplasm)		atp[c] + h2o[c] + pgp140[c] --> adp[c] + h[c] + pgp140[p] + pi[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2705983	1	PMID: 15304478 suggests that MsbA facilitates the rapid translocation of some lipids from the cytoplasmic to the periplasmic side of the inner membrane in living cells.//no specific mention of://pa//pg//pgp//but PMID: 15890883 does mention that MsbA will transport://pe////personal communication (Charles Rock, Jan. 7 06): 'MsbA is an interesting issue.  It certainly transports the lipid A molecule.  In msbA mutants, PE also accumulates inside the cell//suggesting that PE is also transported by MsbA.  However, some scientists think this may not be the case and the accumulation of PE inside the cell in msbA mutants arises from it sticking to the lipid A that is not moved out of the cell, so the phenotype is not due to a PE transport defect.  This implies the existence of another transporter that moves phospholipids, but it has not been identified. So we wait for more definitive experiments.'//AMF	
ADEtex	adenine transport via diffusion (extracellular to periplasm)		ade[e] <==> ade[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915054		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
CTPS2	CTP synthase (glutamine)		[c] : atp + gln-L + h2o + utp --> adp + ctp + glu-L + (2) h + pi	Purine and Pyrimidine Biosynthesis	Cytosol	6.3.4.2	Irreversible	N	143492	0		
GLYCLTt4pp	glycolate transport via sodium symport (periplasm)		glyclt[p] + na1[p] --> glyclt[c] + na1[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1912373	4	Ref couldn't distinguish between a proton or a Na symporter, assumed Na based on sequence homology.	
ACOAD8f	acyl-CoA dehydrogenase (octadecanoyl-CoA)	Palmitoyl-CoA dehydrogenase	[c] : fad + stcoa <==> fadh2 + od2coa	Membrane Lipid Metabolism	Cytosol	1.3.99.3	Reversible	N	3304325	3	Another isozyme exists because a fadE mutant can still grow on FA under aerobic conditions see PMID 12535077//reaction predicted to be thermodynamically reversible through thermodynamic consistency analysis - feist 2007	
PGAMT	phosphoglucosamine mutase		[c] : gam1p <==> gam6p	Cell Envelope Biosynthesis	Cytosol	5.4.2.10	Reversible	N	226721	0		
FALDtpp	formaldehyde transport via diffusion (periplasm)		fald[p] <==> fald[c]	Transport, Inner Membrane	Cytosol, Periplasm		Reversible	Y	2326559	3	assumed diffustion reaction//AMF////personal communication with Milton Saier believes it should diffuse as well or additionally move through GlpF.//AMF	
DSERt2pp	D-serine transport in via proton symport (periplasm)		h[p] + ser-D[p] --> h[c] + ser-D[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	3241140	3	From PMID: 15221223//CycA mediates the uptake of L-alanine, D-alanine, glycine, D-serine, and Dcycloserine (Wargel et al. 1970; Cosloy 1973).....utilize H+ co-transport as the energy source (Swiss-Prot data base; http://www.expasy.org/sprot;//accession no. P39312). Together with fklB, cycA is thought to form the fklB-cycA operon, whose expression is regulated by the nitrogen assimilation control (Nac) protein//Set to be irreversible.//AMF	
ALAGLUE	L-alanyl-gamma-glutamate epimerase		[c] : LalaDglu <==> LalaLglu	Murein Recycling	Cytosol		Reversible	N	2329495	4	PMID: 11747447//this enolase can act on a number of different dipeptide substrates, see citation for ref//AMF////nice figure in  PMID: 15901686	
SELCYSS	selenocysteine synthase		[c] : selnp + sertrna(sec) --> h + pi + sectrna	tRNA Charging	Cytosol	2.9.1.1	Irreversible	N	2932614	4	AMF	
UACGALPpp	UDP-N-acetyl-D-galactosamine pyrophosphohydrolase (periplasm)		[p] : h2o + udpacgal --> acgal1p + (2) h + ump	Alternate Carbon Metabolism	Periplasm	3.6.1.45	Irreversible	N	2388136	4	see PMID: 3012467//AMF	
ARGORNt7pp	arginine/ornithine antiporter (periplasm)		arg-L[p] + orn[c] <==> arg-L[c] + orn[p]	Transport, Inner Membrane	Cytosol, Periplasm		Reversible	Y	1912052	4		
CLPNH141pp	cardiolipin hydrolase (periplasm, n-C14:1)	phospholipase D	[p] : clpn141 + h2o --> h + pa141 + pg141	Glycerophospholipid Metabolism	Periplasm		Irreversible	N	2706534	2	PMID: 360//characterizes phospholipase D activity in E. coli.  The gene responsible is not characterized and it is not known if the reaction takes place on the inner membrane or on outer membrane or both.////PMID: 10634942 states that neither cls nor ybhO have cardiolipin hydrolase activity//AMF	
SDPTA	succinyldiaminopimelate transaminase		[c] : akg + sl26da <==> glu-L + sl2a6o	Threonine and Lysine Metabolism	Cytosol	2.6.1.17	Reversible	N	141380	3	Ecocyc://The gene has been independently cloned and sequenced as argD, encoding acetylornithine transaminase, by Heimberg et al [  Heimberg90  ] . In 1999 Ledwidge and Blanchard [ Ledwidge99  ] purified and sequenced the N-succinyldiaminopimelate-aminotransferase protein, showing that it is identical to the argD gene product.//PMID: 10074354////AMF	
ASPTRS	Aspartyl-tRNA synthetase		[c] : asp-L + atp + trnaasp --> amp + asptrna + ppi	tRNA Charging	Cytosol	6.1.1.12	Irreversible	N	227818	4	Added to incorporate tRNA peptides into model	
FECRMUtex	ferrichrome (minus Fe) secretion (to extracellular)		fecrm-un[p] + h[p] --> fecrm-un[e] + h[c]	Inorganic Ion Transport and Metabolism	Cytosol, Extra-organism, Periplasm		Irreversible	Y	2305558	2	transport mechanism not know, but necessary - K-12 ecoli do not produce nor degrade aerobactin, just utilze Fe it sequesters.//may not use proton antiport - just put in system to approximate energy expense//MKA////transport mech unknown - proton antiport assumed for inner and outer membranes//AMF	
G3PAT181	glycerol-3-phosphate acyltransferase (C18:1)		[c] : glyc3p + octeACP --> 1odec11eg3p + ACP	Glycerophospholipid Metabolism	Cytosol	2.3.1.15	Irreversible	N	2617470	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
GLYAT	glycine C-acetyltransferase		[c] : accoa + gly <==> 2aobut + coa	Glycine and Serine Metabolism	Cytosol	2.3.1.29	Reversible	N	212665	4	2-Amino-3-ketobutyrate CoA ligase (AKB ligase) catalyzes the reversible cleavage/condensation reaction between 2-amino-3-ketobutyrate and glycine plus acetyl-CoA.////can also act on propionyl-coa, but I have not identified the product.  PMID: 3117785 //AMF	
ALPATE160pp	apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)		[p] : alpp + pe160 --> 2agpe160 + lpp	Unassigned	Periplasm		Irreversible	N	2707688	3	PMID: 2033085 states that phosphatidylethanolamine and other major phospholipids such as phosphatidylglycerol and cardiolipin can serve as the donor of fatty acid in the N-acylation of apolipoprotein (Cardiolipin was not added as a substrate, but could be).//Only palmitate was mentioned as the acyl- chain length that was transfered, however other acyl- chain lenghts could be transfered as well.//Lpp added to GPR since it participates in the reaction as a metabolite.//AMF	
DDGLK	2-dehydro-3-deoxygluconokinase		[c] : 2ddglcn + atp --> 2ddg6p + adp + h	Alternate Carbon Metabolism	Cytosol	2.7.1.45	Irreversible	N	216384	4		
FEOXAMabcpp	ferroxamine transport via ABC system (periplasm)		atp[c] + feoxam[p] + h2o[c] --> adp[c] + feoxam[c] + h[c] + pi[c]	Inorganic Ion Transport and Metabolism	Cytosol, Periplasm		Irreversible	Y	1899937	3	There are other molecules that are transported by this complex, listed on transportDB//http://tcdb.ucsd.edu/tcdb/tcfamilybrowse.php?tcname=3.A.1////PMID: 14668326//	
LPLIPAL2G120	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C12:0)		[c] : 2agpg120 + h2o --> ddca + g3pg + h	Glycerophospholipid Metabolism	Cytosol	3.1.1.5	Irreversible	N	2706833	3	PMID: 3908447//characterizes the enzyme to act on 2-acyl glycerophosphoethanolamine and -choline, but will not act on diacylphospholipids.  Assumed to act on -glycerol and -OH.//The enzyme also catalyzes the transfer of an acyl group from a lysophospholipid to phosphatidylglycerol for the formation of acyl phosphatidylglycerol (shown to be a small component on the membrane).//no specific mention of which side of the inner membrane the active site of the PldB enzyme is on.//AMF	
UGLCURPpp	UDP-D-glucuronate pyrophosphohydrolase (periplasm)		[p] : h2o + udpglcur --> glcur1p + (2) h + ump	Alternate Carbon Metabolism	Periplasm	3.6.1.45	Irreversible	N	2388142	4	see PMID: 3012467//AMF	
PTRCTA	Putrescine Transaminase		[c] : akg + ptrc --> 4abutn + glu-L	Arginine and Proline Metabolism	Cytosol	2.6.1.29	Irreversible	N	1440625	4	JLR- could not find EC number, based on JSE model.  Assigned to pat gene, but location in genome is unknown (EcoCyc).//YgjG also acts on cadaverine (15dap)////	
FCI	L-fucose isomerase		[c] : fuc-L <==> fcl-L	Alternate Carbon Metabolism	Cytosol	5.3.1.25	Reversible	N	1438881	0		
PGPP161pp	phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:1)	PGP phosphatase, phosphatidylglycerol phosphatase;, phosphatidylglycerol phosphate phosphatase;, phosphatidylglycerophosphatase;	[p] : h2o + pgp161 --> pg161 + pi	Glycerophospholipid Metabolism	Periplasm	3.1.3.27	Irreversible	N	2706401	3	from PMID: 2846511//PGPP activity is higher in the cytoplasmic membrane than the outer membrane, whereas PAPA activities are higher in the outer membrane.//It appears that PgpA activity is for PAPA where PgpB activity is for both PAPA and PGP.//PgpB is known to be located in both the inner and outer membrane, pgpA is acitve in the inner membrane.  However, it is not know which side of the membranes the active site for each of the enzymes is on.////removal of the phosphate moiety from PG-phosphate, is indeterminate because at least three different enzymes (PgpA, PgpB, and an unknown protein) are thought to catalyze this hydrolytic step.//PMID: 14527277////PMID: 9370315 states gene responsible is pgpB in E coli////reactions are set up to act on FA with two identical -acyl chain lengths////AMF	
RNTR4c	ribonucleoside-triphosphate reductase (UTP) (flavodoxin)		[c] : fldrd + utp --> dutp + fldox + h2o	Nucleotide Salvage Pathway	Cytosol		Irreversible	N	2388640	3	NrdD can catalyze RNTR reactions by itself under aerobic conditions////NrdD has to complex with NrdG and Fpr under anaerobic conditions - NrdD and NrdG are known to be essential anaerobically////flavodoxin is assumed to be the donor in a similar organism and thus is used for E. coli//PMID: 10644700////fldA, fldB added to GPR since it participates in the reaction as a metabolite. fldA and fldB are treated as the same carrier in the reconstruction.  fldA is essential under aerobic and anaerobic, PMID: 10714981//AMF////outlined well in ecocyc//AMF	
RBFSa	riboflavin synthase		[c] : 4r5au + db4p --> dmlz + (2) h2o + pi	Cofactor and Prosthetic Group Biosynthesis	Cytosol	2.5.1.9	Irreversible	N	1249017	0		
MDH2	Malate dehydrogenase (ubiquinone 8 as acceptor)		[c] : mal-L + q8 --> oaa + q8h2	Citric Acid Cycle	Cytosol	1.1.99.16	Irreversible	N	1460621	4		
UAMAS	UDP-N-acetylmuramoyl-L-alanine synthetase		[c] : ala-L + atp + uamr --> adp + h + pi + uama	Cell Envelope Biosynthesis	Cytosol	6.3.2.8	Irreversible	N	1528685	0		
PHEMEtiex	protoheme transport irreversible out via diffusion (periplasm to extracellular)		pheme[p] --> pheme[e]	Transport, Outer Membrane	Extra-organism, Periplasm		Irreversible	Y	2325010	1	Assumed that pheme can leave the periplasm without any energy requirement since it is exported by ccmABC//AMF	
QMO3	quinol monooxygenase (menaquinol 8)		[c] : mql8 + (2) o2 --> (2) h + mqn8 + (2) o2s	Oxidative Phosphorylation	Cytosol		Irreversible	N	2708434	2	PMID: 15613473 //"Thus, the QuMo-MdaB cycle would also act as a quinone buffer, owing to the broad substrate specificity for these types of proteins".  For this reason, the reaction was assigned to act on menaqinol and uqiquinol (demostrated to act on menadiol).//Not sure why the reaction is shown to generate superoxide ions.  Other monooxygenases use NAD(P)H.//the enzyme is NADH dependent.//AMF	
MN2tpp	manganese transport in via permease (no H+)		mn2[p] --> mn2[c]	Inorganic Ion Transport and Metabolism	Cytosol, Periplasm		Irreversible	Y	3241740	4	PMID: 15716430 states that zupT transports zn2, fe2, coblt2, and possibly mn2//PMID: 11790762 states that zupT also transports cu2, cd2//AMF//analysis of thermodynamics predicts that this reaction is irreversible in the direction of import.//AMF	
UM4PCP	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine L,D-carboxypeptidase	UDP-N-acetylmuramoyl-tetrapeptide L,D-carboxypeptidase	[c] : h2o + um4p --> ala-D + ugmd	Murein Recycling	Cytosol		Irreversible	N	2328769	4	LdcA is a cytoplasmic LD-carboxypeptidase//four different similar susbstrates//PMID: 10428950	
3HAD161	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	beta-hydroxyacyl-acyl carrier protein dehydratases	[c] : 3hcpalm9eACP --> h2o + t3c9palmeACP	Cell Envelope Biosynthesis	Cytosol	4.2.1.61	Irreversible	N	2617174	4	FabA and FabZ exhibited broad, overlapping chain length specificities. The FabZ dehydratase efficiently catalyzed the dehydration of short chain beta -hydroxyacyl-ACPs and long chain saturated and unsaturated beta -hydroxyacyl-ACPs. FabA was most active on intermediate chain length beta -hydroxyacyl-ACPs and also possessed significant activity toward both short and long chain saturated beta -hydroxyacyl-ACPs. Significantly, FabA was virtually inactive in the dehydration of long chain unsaturated beta -hydroxyacyl-ACP. The introduction of the double bond at the 10-carbon stage of fatty acid synthesis by FabA was only detected in the presence of beta -ketoacyl-ACP synthase I (FabB).//PMID: 8910376//AMF	
F6Ptex	fructose 6-phosphate transport via diffusion (extracellular to periplasm)		f6p[e] <==> f6p[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2734811		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
TSULtex	thiosulfate transport via diffusion (extracellular to periplasm)		tsul[e] <==> tsul[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1916128		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
ETHSO3tex	ethanesulfonate transport via diffusion (extracellular to periplasm)		ethso3[e] <==> ethso3[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2380498		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
INSTtex	inositol transport via diffusion (extracellular to periplasm)		inost[e] <==> inost[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915954		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
3HCINNMH	3-hydroxycinnamate hydroxylase		[c] : 3hcinnm + h + nadh + o2 --> dhcinnm + h2o + nad	Alternate Carbon Metabolism	Cytosol		Irreversible	N	1472406	4		
CLPNS120pp	cardiolipin synthase (periplasmic, n-C12:0)		[p] : (2) pg120 <==> clpn120 + glyc	Glycerophospholipid Metabolism	Periplasm		Reversible	N	2705330	3	From PMID: 3918012//¿The location of analog lipid synthesis and the intracellular distribution of the lipids formed have not been examined directly, but several lines of circumstantial evidence suggest answers to these questions. E. coli cells formed mannitol lipids irrespective of the presence of the mtl-2 allele, which should have caused a defect in specific enzyme II of the phosphotransferase system (2, 16), the sole transport system for mannitol (9). Therefore, the most probable site of the cardiolipin synthase reaction for analog lipid formation is the periplasmic side of the cytoplasmic membrane. This also supports the notion that mannitol was incorporated into the lipids without prior phosphorylation or other structural modifications.¿////Suggests reversibility://¿If this reaction is reversible and if the substrate specificity is not strict, then the alcoholysis of cardiolipin in the presence of high concentration of, for instance, D-mannitol may yield phosphatidylmannitol and phosphatidylglycerol, and further condensation may give rise to diphosphatidylmannitol (Fig. 3)¿////yhbO can catalyze CL formation, but reported to not be functional inside of the cell.  PMID: 10634942.  however, it is curious that ybhO was reported unable to complement a cls mutation. However, it is not clear that the genome segment tested contained a functional promoter. - Cronan PMID: 14527277//Not sure of the location of the active site of ybhO//AMF	
GLUN	glutaminase		[c] : gln-L + h2o --> glu-L + nh4	Glutamate Metabolism	Cytosol	3.5.1.2	Irreversible	N	1529232	4	JLR- JSE didn't have any genes assigned, there are two putative glutaminases so I assigned these genes to this reaction.	
G3PCtex	glycero-3-phosphocholine transport via diffusion (extracellular to periplasm)		g3pc[e] <==> g3pc[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2324521		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
DSERtex	D-serine transport via diffusion (extracellular to periplasm)		ser-D[e] <==> ser-D[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1916083		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
FACOAE140	fatty-acid-CoA thioesterase (tetradecanoate)		[c] : h2o + tdcoa --> coa + h + ttdca	Cell Envelope Biosynthesis	Cytosol		Irreversible	N	2386902	3	there are 2 acyl-CoA thioesterases (tesA (I) which is periplasmic and tesB (II) which is cytoplasmic)////KO of both genes show no phenotype//ecocye:hioesterase II is the tesB gene product. It has broad substrate specificity, cleaving short- and long-chain (C6-C18) acyl-CoA esters as well as 3-hydroxyacyl-CoA esters. ////See PMID: 8098033 for characterization of tesA//AMF	
FEOXAMR2	ferroxamine reductase		[c] : (2) feoxam + fmnh2 --> (2) fe2 + (2) feoxam-un + fmn + (2) h	Inorganic Ion Transport and Metabolism	Cytosol		Irreversible	N	2262795	3	reaction can involve any flavin (FAD, FMN, Ribflv).  indirectly (?) catalyzed by Fre.  FAD may be prefered////ferroxamine is a siderophore - an iron-uptake molecule secreted by other micro-organisms.  Not produced by K-12, just ingest it and remove the Fe before re-secreting the siderophore to collect more Fe from the environment.////MKA	
LYSt2pp	L-lysine transport in via proton symport (periplasm)		h[p] + lys-L[p] --> h[c] + lys-L[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	3241105	3	From TransportDB://2.A.3.1.2 Lysine:H+ symporter//Solute:proton symport - S (out) + nH+ (out) ¿ S (in) + nH+ (in).//(http://www.tcdb.org/tcdb/tcfamilybrowse.php?tcname=2.A.3)//PMID: 7551055//PMID: 8195083//PMID: 1315732//Set to irreversible.//AMF//	
DMSOR1	Dimethyl sulfoxide reductase (Menaquinol 8)		[c] : dmso + mql8 --> dms + h2o + mqn8	Oxidative Phosphorylation	Cytosol		Irreversible	N	1482950	4	Note that chimeric enzymes such as dmsA-ynfGH can also work (see ref for complete listing-- AGH,ABH,FGC).	
ACMUMptspp	N-acetylmuramate transport via PEP:Pyr PTS (periplasm)		acmum[p] + pep[c] --> acmum6p[c] + pyr[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1911969	4	This compound can serve as a carbon source reactions are missing.	
MICITD	2-methylisocitrate dehydratase		[c] : 2mcacn + h2o --> micit	Alternate Carbon Metabolism	Cytosol	4.2.1.99	Irreversible	N	1485160	1	JLR- AcnB has been shown to have this activity.	
DALAt2pp	D-alanine transport in via proton symport (periplasm)		ala-D[p] + h[p] --> ala-D[c] + h[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	3241135	3	From PMID: 15221223//CycA mediates the uptake of L-alanine, D-alanine, glycine, D-serine, and Dcycloserine (Wargel et al. 1970; Cosloy 1973).....utilize H+ co-transport as the energy source (Swiss-Prot data base; http://www.expasy.org/sprot;//accession no. P39312). Together with fklB, cycA is thought to form the fklB-cycA operon, whose expression is regulated by the nitrogen assimilation control (Nac) protein//Set to be irreversible.//AMF	
DBTS	dethiobiotin synthase		[c] : atp + co2 + dann --> adp + dtbt + (3) h + pi	Cofactor and Prosthetic Group Biosynthesis	Cytosol	6.3.3.3	Irreversible	N	1529155	3	NH irreversible pg 705//JLR//AMF	
GLUDy	glutamate dehydrogenase (NADP)		[c] : glu-L + h2o + nadp <==> akg + h + nadph + nh4	Glutamate Metabolism	Cytosol	1.4.1.4	Reversible	N	138308	0		
DHQS	3-dehydroquinate synthase		[c] : 2dda7p --> 3dhq + pi	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Cytosol	4.2.3.4	Irreversible	N	139801	0		
SDPDS	succinyl-diaminopimelate desuccinylase		[c] : h2o + sl26da --> 26dap-LL + succ	Threonine and Lysine Metabolism	Cytosol	3.5.1.18	Irreversible	N	1528729	0		
ACMANAptspp	N-acetyl-D-mannosamine transport via PTS  (periplasm)		acmana[p] + pep[c] --> acmanap[c] + pyr[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1911964	4		
TDSR1	thiol:disulfide reductase (DsbC)		dsbcox[p] + dsbdrd[c] --> dsbcrd[p] + dsbdox[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2703974	4	Transfer of protons from cellular membrane protein DsbD to periplasmic DsbC/G protein(s) for protein modification.//see PMID: 16040611//AMF	
TKT1	transketolase		[c] : r5p + xu5p-D <==> g3p + s7p	Pentose Phosphate Pathway	Cytosol	2.2.1.1	Reversible	N	134985	0		
NTD1	5'-nucleotidase (dUMP)		[c] : dump + h2o --> duri + pi	Nucleotide Salvage Pathway	Cytosol	3.1.3.5	Irreversible	N	143670	4	SurE//PMID: 15489502//no 3'-nmp assigned since not in model//E. coli SurE showed significant activity toward nucleoside 5'-or3'-monophosphates (Fig. 3A). The protein hydrolyzed both purine and pyrimidine ribo- and deoxyribonucleotides effectively and had a neutral pH optimum (pH 7.0¿7.2) (Fig. 3B). With all substrates, the protein showed saturation kinetics with high affinity to 3'-AMP, 5'-GMP, 5'-dGMP, 5'-AMP, and 3'-CMP.  The only non-nucleotide natural substrate hydrolyzed by the E. coli SurE was found to be polyphosphate.////YfbR is a Co2+-dependent 5'-nucleotidase with a strict specificity to deoxyribonucleotides. also, 4nphp////YjjG is an Mn2+-dependent 5'-nucleotidase specific to 5'-UMP, 5'-dUMP, and 5'-dTMP. also, 4nphp	
SUCCtex	succinate transport via diffusion (extracellular to periplasm)		succ[e] <==> succ[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1916095		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
IDONtex	L-idonate transport via diffusion (extracellular to periplasm)		idon-L[e] <==> idon-L[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915945		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
