H2O,C00001,H2O2,C00027,0.75
5-Hydroxyindoleacetaldehyde,C05634,5-Hydroxyindoleacetate,C05635,0.740740740741
5-Hydroxyindoleacetaldehyde,C05634,5-Hydroxyindoleacetylglycine,C05832,0.714285714286
5-Hydroxyindoleacetate,C05635,5-Methoxyindoleacetate,C05660,0.818181818182
5-Hydroxyindoleacetate,C05635,5-Hydroxyindolepyruvate,C05646,0.739130434783
3-Hydroxykynurenamine,C05636,5-Hydroxykynurenamine,C05638,0.904761904762
3-Hydroxykynurenamine,C05636,3-Hydroxykynurenine,C02794,0.857142857143
3-Hydroxykynurenamine,C05636,Formyl-5-hydroxykynurenamine,C05647,0.714285714286
"4,8-Dihydroxyquinoline",C05637,"4,6-Dihydroxyquinoline",C05639,0.909090909091
"4,8-Dihydroxyquinoline",C05637,"3,4-Dihydroxyquinoline",C06330,0.863636363636
"4,8-Dihydroxyquinoline",C05637,2-Hydroxyquinoline,C06338,0.727272727273
5-Hydroxykynurenamine,C05638,Formyl-5-hydroxykynurenamine,C05647,0.75
5-Hydroxykynurenamine,C05638,5-Hydroxykynurenine,C05651,0.857142857143
"4,6-Dihydroxyquinoline",C05639,"3,4-Dihydroxyquinoline",C06330,0.863636363636
"4,6-Dihydroxyquinoline",C05639,2-Hydroxyquinoline,C06338,0.727272727273
"5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate",C05641,"5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate",C05656,0.943396226415
"5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate",C05641,"5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate",C05655,0.716981132075
"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate",C05645,"4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate",C05652,0.95652173913
Dihydropteridine,C05649,Tetrahydropteridine,C05650,0.736842105263
Tetrahydropteridine,C05650,Tetrahydroxypteridine,C03178,0.857142857143
Formylanthranilate,C05653,N-Acetylanthranilate,C06332,0.7
"5-(2'-Formylethyl)-4,6-dihydroxypicolinate",C05654,"5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate",C05655,0.860465116279
"5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate",C05655,"5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate",C05656,0.745098039216
5-Methoxytryptamine,C05659,5-Hydroxytryptamine,C00780,0.789473684211
5-Methoxytryptamine,C05659,N-Methyltryptamine,C06213,0.736842105263
6-Hydroxykynurenate,C05663,8-Methoxykynurenate,C05830,0.736842105263
3-Nitropropanoate,C05669,3-Hydroxypropanoate,C01013,0.736842105263
3-Aminopropiononitrile,C05670,alpha-Aminopropiononitrile,C05714,0.769230769231
CMP-2-aminoethylphosphonate,C05673,N-Dimethyl-2-aminoethylphosphonate,C05680,0.735294117647
CMP-2-aminoethylphosphonate,C05673,1-Hydroxy-2-aminoethylphosphonate,C05678,0.727272727273
CMP-2-aminoethylphosphonate,C05673,2-Methylaminoethylphosphonate,C05679,0.724137931034
CMP-2-aminoethylphosphonate,C05673,N-Trimethyl-2-aminoethylphosphonate,C06459,0.714285714286
CMP-N-trimethyl-2-aminoethylphosphonate,C05674,N-Trimethyl-2-aminoethylphosphonate,C06459,0.846153846154
CMP-N-trimethyl-2-aminoethylphosphonate,C05674,N-Dimethyl-2-aminoethylphosphonate,C05680,0.820512820513
CMP-N-trimethyl-2-aminoethylphosphonate,C05674,N-Monomethyl-2-aminoethylphosphonate,C05679,0.794871794872
1-Hydroxy-2-aminoethylphosphonate,C05678,N-Dimethyl-2-aminoethylphosphonate,C05680,0.764705882353
1-Hydroxy-2-aminoethylphosphonate,C05678,N-Trimethyl-2-aminoethylphosphonate,C06459,0.742857142857
1-Hydroxy-2-aminoethylphosphonate,C05678,N-Monomethyl-2-aminoethylphosphonate,C05679,0.722222222222
N-Monomethyl-2-aminoethylphosphonate,C05679,N-Dimethyl-2-aminoethylphosphonate,C05680,0.861111111111
N-Monomethyl-2-aminoethylphosphonate,C05679,N-Trimethyl-2-aminoethylphosphonate,C06459,0.861111111111
N-Dimethyl-2-aminoethylphosphonate,C05680,N-Trimethyl-2-aminoethylphosphonate,C06459,0.914285714286
2-Aminoethylphosphocholate,C05683,CMP-2-aminoethylphosphonate,C05673,0.703703703704
Selenite,C05684,Selenate,C05697,0.75
Se-Methylselenomethionine,C05690,Se-Adenosylselenomethionine,C05691,0.777777777778
Selenohomocysteine,C05698,Selenohomocystine,C05707,0.888888888889
Selenocystine,C05704,L-Selenocysteine,C05688,0.75
Selenocystine,C05704,Selenohomocystine,C05707,0.705882352941
gamma-Amino-gamma-cyanobutanoate,C05715,alpha-Amino-gamma-cyanobutanoate,C05717,0.84375
Glutathionylspermidine,C05730,Glutathionylspermine,C16562,0.863636363636
Glutathionylspermidine,C05730,Bis(glutathionyl)spermine,C16563,0.72
Coproporphyrinogen I,C05768,Coproporphyrin I,C05769,0.7
Coproporphyrin I,C05769,Coproporphyrin III,C05770,0.777777777778
Precorrin 3A,C05772,Precorrin 3B,C06406,0.833333333333
Precorrin 3A,C05772,Precorrin 6Y,C06319,0.75
Precorrin 3A,C05772,Precorrin 6X,C06320,0.75
Precorrin 3A,C05772,Precorrin 4,C06407,0.75
Precorrin 3A,C05772,Precorrin 8X,C06408,0.75
Cobinamide,C05774,Picolinamide,C01950,0.75
Cobinamide,C05774,Cobamamide,C00194,0.7
Cobinamide,C05774,Cobamide,C00210,0.7
L-Urobilinogen,C05789,I-Urobilinogen,C05790,0.857142857143
L-Urobilinogen,C05789,D-Urobilinogen,C05791,0.857142857143
I-Urobilinogen,C05790,D-Urobilinogen,C05791,0.857142857143
L-Urobilin,C05793,I-Urobilin,C05794,0.8
L-Urobilin,C05793,D-Urobilin,C05795,0.8
Urobilin,C05794,D-Urobilin,C05795,0.8
Urobilin,C05794,Nobilin,C09518,0.75
2-Hexaprenylphenol,C05800,2-Octaprenylphenol,C05810,0.833333333333
2-Hexaprenyl-6-hydroxyphenol,C05801,2-Octaprenyl-6-hydroxyphenol,C05811,0.892857142857
2-Hexaprenyl-6-hydroxyphenol,C05801,2-Hexaprenyl-6-methoxyphenol,C05802,0.821428571429
2-Hexaprenyl-6-methoxyphenol,C05802,2-Octaprenyl-6-methoxyphenol,C05812,0.892857142857
"2-Hexaprenyl-6-methoxy-1,4-benzoquinone",C05803,"2-Octaprenyl-6-methoxy-1,4-benzoquinone",C05813,0.923076923077
"2-Hexaprenyl-6-methoxy-1,4-benzoquinone",C05803,"2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05804,0.791666666667
"2-Hexaprenyl-6-methoxy-1,4-benzoquinone",C05803,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05814,0.75
"2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05804,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05814,0.9375
"2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05804,"2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone",C05805,0.810344827586
"2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05804,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone",C05815,0.775862068966
"2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05804,"2-Octaprenyl-6-methoxy-1,4-benzoquinone",C05813,0.75
"2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone",C05805,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone",C05815,0.948275862069
3-Octaprenyl-4-hydroxybenzoate,C05809,3-Hexaprenyl-4-hydroxybenzoate,C13425,0.9
3-Octaprenyl-4-hydroxybenzoate,C05809,"3-Hexaprenyl-4,5-dihydroxybenzoate",C05200,0.794117647059
3-Octaprenyl-4-hydroxybenzoate,C05809,2-Ethylhexyl-4-hydroxybenzoate,C14716,0.733333333333
3-Octaprenyl-4-hydroxybenzoate,C05809,4-Hydroxyphenyl-4-hydroxybenzoate,C18216,0.727272727273
2-Octaprenyl-6-hydroxyphenol,C05811,2-Octaprenyl-6-methoxyphenol,C05812,0.821428571429
"2-Octaprenyl-6-methoxy-1,4-benzoquinone",C05813,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05814,0.791666666667
"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05814,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone",C05815,0.810344827586
"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05814,"2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone",C05805,0.775862068966
"(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",C05817,"(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate",C06321,0.72131147541
Enterochelin,C05821,Fe-enterochlin,C06230,0.714285714286
Cytidine 3'-phosphate,C05822,Uridine 2'-phosphate,C03031,0.809523809524
Cytidine 3'-phosphate,C05822,Guanosine 3'-phosphate,C06193,0.727272727273
Cytidine 3'-phosphate,C05822,Deoxyuridine 5'-phosphate,C00365,0.72
2-Amino-5-oxohexanoate,C05825,3-Hydroxy-5-oxohexanoate,C16272,0.708333333333
Methylimidazole acetaldehyde,C05827,Methylimidazoleacetate,C05828,0.714285714286
Glucobrassicin,C05837,Neoglucobrassicin,C08424,0.823529411765
Glucobrassicin,C05837,Glucobrassicanapin,C08403,0.722222222222
Indolylmethyl glucosinolate,C05837,2-Phenylethyl glucosinolate,C08417,0.740740740741
Indolylmethyl glucosinolate,C05837,1-Methylethyl glucosinolate,C08418,0.740740740741
Indolylmethyl glucosinolate,C05837,Indolylmethyl-desulfoglucosinolate,C16517,0.735294117647
Indolylmethyl glucosinolate,C05837,Methyl glucosinolate,C08404,0.703703703704
cis-2-Hydroxycinnamate,C05838,trans-3-Hydroxycinnamate,C12621,0.75
cis-2-Hydroxycinnamate,C05838,"trans-2,3-Dihydroxycinnamate",C12623,0.714285714286
N1-Methyl-2-pyridone-5-carboxamide,C05842,N1-Methyl-4-pyridone-5-carboxamide,C05843,0.911764705882
"1,2-Benzopyrone",C05851,"1,2-Benzpyrene",C14435,0.8
2-Hydroxyphenylacetate,C05852,4-Hydroxyphenylacetate,C00642,0.909090909091
2-Hydroxyphenylacetate,C05852,"2,6-Dihydroxyphenylacetate",C06207,0.846153846154
2-Hydroxyphenylacetate,C05852,(R)-2-Hydroxy-2-phenylacetate,C01983,0.724137931034
2-Hydroxyphenylacetate,C05852,(S)-2-Hydroxy-2-phenylacetate,C01984,0.724137931034
2-Phenylethanol,C05853,1-Phenylethanol,C07112,0.866666666667
Thiamine aldehyde,C05856,Betaine aldehyde,C00576,0.764705882353
Thiamine aldehyde,C05856,Vitamin A aldehyde,C00376,0.722222222222
UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine,C05892,UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-L-lysyl-D-alanine,C06432,0.703125
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C05893,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine,C05894,0.850877192982
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C05893,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine,C17550,0.848
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C05893,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine,C17549,0.791044776119
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C05893,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine,C17541,0.786885245902
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C05893,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)5-D-alanyl-D-alanine,C05895,0.780487804878
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C05893,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine,C17542,0.780487804878
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C05893,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C05898,0.744
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine,C05894,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine,C17541,0.860655737705
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine,C05894,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)5-D-alanyl-D-alanine,C05895,0.853658536585
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine,C05894,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine,C17542,0.853658536585
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine,C05894,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine,C17550,0.776
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine,C05894,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C05898,0.744
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine,C05894,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine,C17549,0.731343283582
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)5-D-alanyl-D-alanine,C05895,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine,C17541,0.926829268293
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)5-D-alanyl-D-alanine,C05895,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine,C17542,0.926829268293
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)5-D-alanyl-D-alanine,C05895,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine,C17550,0.816
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)5-D-alanyl-D-alanine,C05895,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine,C17549,0.768656716418
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)5-D-alanyl-D-alanine,C05895,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C05898,0.728
"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C05897,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C05898,0.784
"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C05898,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine,C17549,0.738805970149
"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C05898,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine,C17541,0.728
"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C05898,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine,C17542,0.728
"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C05898,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine,C17550,0.728
3-Methoxyapigenin,C05902,8-Hydroxyapigenin,C10097,0.705882352941
3-Methoxyapigenin,C05902,6-Hydroxyapigenin,C10184,0.705882352941
3-O-Methylkaempferol,C05902,7-Methylkaempferol,C17059,0.8
"3,4',5,7-Tetrahydroxyflavone",C05903,"3,5,7,2'-Tetrahydroxyflavone",C10036,0.785714285714
"3,4',5,7-Tetrahydroxyflavone",C05903,"3,3',4',5,7,8-Hexahydroxyflavone",C04109,0.75
"3,4',5,7-Tetrahydroxyflavone",C05903,"3,5,7-Trihydroxyflavone",C10044,0.75
Trifolitin,C05903,Trifolin,C12626,0.7
"3,5,7-Trihydroxy-2-(4-hydroxyphenyl)benzopyrylium chloride",C05904,"3,5,7-Trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-1-benzopyryliumchloride",C08726,0.785714285714
Cyanidin chloride,C05905,Pelargonidin chloride,C05904,0.714285714286
Cyanidin chloride,C05905,Delphinidin chloride,C05908,0.7
"2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,4,5,7-tetrol",C05906,"(2R-trans)-2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",C06562,0.756756756757
3-Deoxyleucocyanidin,C05907,5-Deoxyleucocyanidin,C09736,0.9
Delphinidine,C05908,Delphinine,C08677,0.75
Pentahydroxyflavanone,C05911,"5,7-Dihydroxyflavanone",C09827,0.727272727273
Pentahydroxyflavanone,C05911,6-Hydroxyflavanone,C14221,0.714285714286
Pentahydroxyflavanone,C05911,4'-Hydroxyflavanone,C14241,0.714285714286
Pentahydroxyflavanone,C05911,7-Hydroxyflavanone,C14290,0.714285714286
Pentahydroxyflavanone,C05911,3'-Hydroxyflavanone,C15204,0.714285714286
Neopterin,C05926,Biopterin,C06313,0.777777777778
Neopterin,C05926,Anopterine,C08658,0.7
N4-Acetylaminobutanal,C05936,4-Methylaminobutanal,C10974,0.809523809524
Pyrrole-2-carboxylate,C05942,1-Pyrroline-5-carboxylate,C03912,0.76
Leukotriene D4,C05951,Leukotriene E4,C05952,0.857142857143
Leukotriene D4,C05951,Leukotriene F4,C06462,0.857142857143
Leukotriene E4,C05952,Leukotriene F4,C06462,0.857142857143
Prostaglandin A2,C05953,Prostaglandin B2,C05954,0.875
Prostaglandin A2,C05953,Prostaglandin C2,C05955,0.875
Prostaglandin A2,C05953,Prostaglandin G2,C05956,0.875
Prostaglandin A2,C05953,Prostaglandin J2,C05957,0.875
Prostaglandin B2,C05954,Prostaglandin C2,C05955,0.875
Prostaglandin B2,C05954,Prostaglandin G2,C05956,0.875
Prostaglandin B2,C05954,Prostaglandin J2,C05957,0.875
Prostaglandin C2,C05955,Prostaglandin G2,C05956,0.875
Prostaglandin C2,C05955,Prostaglandin J2,C05957,0.875
Prostaglandin G2,C05956,Prostaglandin J2,C05957,0.875
Prostaglandin J2,C05957,Prostaglandin F2a,C00639,0.823529411765
6-Keto-prostaglandin F1alpha,C05961,6-Keto-prostaglandin E1,C05962,0.75
Propyl alcohol,C05979,Methyl alcohol,C00132,0.714285714286
Propyl alcohol,C05979,Cetyl alcohol,C00823,0.714285714286
1-Hydroxypropane,C05979,1-Hydroxynonane,C14696,0.75
1-Hydroxypropane,C05979,1-Hydroxy-2-propanone,C05235,0.714285714286
2-Hydroxybutanoic acid,C05984,L-2-Hydroxybutanedioic acid,C00149,0.777777777778
2-Hydroxybutanoic acid,C05984,2-Hydroxybut-2-enedioic acid,C03981,0.714285714286
2-Propynal,C05985,2-Propynol,C05986,0.8
2-Propynal,C05985,2-Propanol,C01845,0.7
Propiolaldehyde,C05985,Propionaldehyde,C00479,0.866666666667
3-Hydroxy-1-propyne,C05986,3-Hydroxy-L-tyrosine,C00355,0.7
Ethynylcarbinol,C05986,Methylphenyl carbinol,C07112,0.714285714286
5'-Acetylphosphoadenosine,C05993,5'-Benzoylphosphoadenosine,C06433,0.807692307692
Lactaldehyde,C05999,Acetaldehyde,C00084,0.75
Lactaldehyde,C05999,Glycolaldehyde,C00266,0.714285714286
Lactaldehyde,C05999,Palmitaldehyde,C00517,0.714285714286
Lactaldehyde,C05999,Sulfoacetaldehyde,C00593,0.705882352941
2-Hydroxypropanal,C05999,3-Hydroxypropanal,C00969,0.882352941176
(S)-3-Hydroxyisobutyryl-CoA,C06000,(S)-3-Hydroxyisobutyrate,C06001,0.703703703704
(S)-2-Hydroxy-2-ethyl-3-oxobutanoate,C06006,(S)-2-Hydroxy-2-methyl-3-oxobutanoate,C06010,0.918918918919
"dTDP-4-acetamido-4,6-dideoxy-D-glucose",C06018,"2-Acetamido-2,6-dideoxy-D-glucose",C15481,0.763157894737
"dTDP-4-acetamido-4,6-dideoxy-D-glucose",C06018,"dTDP-3-amino-3,6-dideoxy-D-glucose",C11925,0.710526315789
3-Deoxy-D-manno-octulosonyl-lipid IV(A),C06024,Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A),C06025,0.813953488372
3-Deoxy-D-manno-octulosonyl-lipid IV(A),C06024,Di[3-deoxy-D-manno-octulosonyl]-lipid A,C06026,0.74358974359
Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A),C06025,Di[3-deoxy-D-manno-octulosonyl]-lipid A,C06026,0.837209302326
L-threo-3-Methylmalate,C06029,D-threo-3-Methylmalate,C06031,0.909090909091
L-threo-3-Methylmalate,C06029,D-erythro-3-Methylmalate,C06032,0.75
D-threo-3-Methylmalate,C06031,D-erythro-3-Methylmalate,C06032,0.75
4-Hydroxy-4-methyl-2-oxoglutarate,C06033,4-Hydroxy-4-methylglutamate,C06034,0.757575757576
4-Hydroxyphenylethanol,C06044,p-Hydroxyphenylethanolamine,C04227,0.740740740741
Stizolobate,C06047,Stizolobinate,C06048,0.769230769231
(3R)-3-Hydroxy-2-oxo-4-phosphonooxybutanoate,C06054,(2S)-2-Amino-3-oxo-4-phosphonooxybutanoate,C07335,0.772727272727
4-Hydroxy-L-threonine,C06056,4-Hydroxy-L-proline,C01015,0.714285714286
Iridodial,C06069,Iridotrial,C06070,0.7
Deoxyloganin,C06071,8-Epideoxyloganin,C11648,0.705882352941
Comphene,C06076,Clomiphene,C06917,0.7
Pimaradiene,C06086,Levopimaradiene,C11879,0.733333333333
Abietic acid,C06087,Neoabietic acid,C11889,0.8
ent-Kaurene,C06090,ent-Kaurenal,C11873,0.75
Aconitine,C06091,Falaconitine,C08683,0.75
Aconitine,C06091,Finaconitine,C08684,0.75
Aconitine,C06091,Hypaconitine,C08688,0.75
Aconitine,C06091,Indaconitine,C08691,0.75
Aconitine,C06091,Jesaconitine,C08692,0.75
Aconitine,C06091,Lycaconitine,C08696,0.75
Aconitine,C06091,Mesaconitine,C08698,0.75
Gibberellin A12 aldehyde,C06093,Gibberellin A14 aldehyde,C11853,0.875
Gibberellin A12 aldehyde,C06093,Gibberellin A53 aldehyde,C11905,0.833333333333
Gibberellin A53,C06094,Gibberellin A51,C11865,0.8
Gibberellin A53,C06094,Gibberellin A5,C11871,0.8
Gibberellin A53,C06094,Gibberellin A1,C00859,0.733333333333
Gibberellin A53,C06094,Gibberellin A19,C02034,0.733333333333
Gibberellin A53,C06094,Gibberellin A20,C02035,0.733333333333
Gibberellin A29,C06096,Gibberellin A24,C11861,0.8
Gibberellin A29,C06096,Gibberellin A9,C11863,0.8
Gibberellin A29,C06096,Gibberellin A1,C00859,0.733333333333
Gibberellin A29,C06096,Gibberellin A3,C01699,0.733333333333
6-Oxohexanoate,C06102,6-Hydroxyhexanoate,C06103,0.722222222222
"Hexan-1,6-dicarboxylate",C06104,"Phenazine-1,6-dicarboxylate",C12119,0.814814814815
"Cyclohexane-1,2-dione",C06105,"cis-Cyclohexane-1,2-diol",C12313,0.75
Nerolidyl diphosphate,C06111,Geranyl diphosphate,C00341,0.761904761905
Nerolidyl diphosphate,C06111,Neryl diphosphate,C02569,0.761904761905
Nerolidyl diphosphate,C06111,Prenyl diphosphate,C00235,0.714285714286
Nerolidyl diphosphate,C06111,Farnesyl diphosphate,C00448,0.714285714286
NPP,C06111,NPPB,C13705,0.75
L-Arabinofuranose,C06115,UDP-L-arabinofuranose,C18094,0.809523809524
3-Ketosphingosine,C06121,Phytosphingosine,C12144,0.764705882353
